nguon,dich,mode,lich,h,model,metric,p25,p50,p75,iqr,n_chuoi,n_loai,n_dong_test
E1,E1,N2,co,6,lr,mae,0.2773406922813896,0.5580774773820895,5.499059546718535,5.221718854437146,735,0,250635
E1,E1,N2,co,6,lr,rmse,0.3666040968698807,1.093926216626404,15.55928966965392,15.192685572784038,735,0,250635
E1,E1,N2,co,6,lr,smape,14.497932726719633,21.271289089935177,40.08722664309302,25.589293916373386,735,0,250635
E1,E1,N2,co,6,lr,mase,1.573382796339228,2.3635316542644804,3.4767723953147005,1.9033895989754728,735,0,250635
E1,E1,N2,co,6,lr,r2,-1.1861293874553769,-0.253583845960725,0.1812203805163687,1.3673497679717457,730,5,250635
E1,E2,N2,co,6,lr,mae,0.3155124055747886,0.5629031534858189,3.4089584851706696,3.093446079595881,302,0,102982
E1,E2,N2,co,6,lr,rmse,0.4170113368513984,1.1185768451222935,8.651237560215403,8.234226223364004,302,0,102982
E1,E2,N2,co,6,lr,smape,15.489156617354364,23.43992056965914,45.4798463476375,29.990689730283133,302,0,102982
E1,E2,N2,co,6,lr,mase,1.440785787191486,2.5639351958297927,3.522911370900079,2.082125583708593,302,0,102982
E1,E2,N2,co,6,lr,r2,-1.2278284348853086,-0.3306403566543573,-0.0140751338476993,1.2137533010376091,302,0,102982
E1,E3,N2,co,6,lr,mae,5.2347224318434025,5.621140291393185,6.052082307238826,0.8173598753954234,497,1,169204
E1,E3,N2,co,6,lr,rmse,7.056163605938606,7.575585169130118,8.82252453270355,1.7663609267649445,497,1,169204
E1,E3,N2,co,6,lr,smape,12.01815141040512,13.901879882631324,16.194759676377505,4.176608265972385,497,1,169204
E1,E3,N2,co,6,lr,mase,1.2024083843740263,1.2918507083421558,1.4023719984288536,0.1999636140548271,497,1,169204
E1,E3,N2,co,6,lr,r2,0.3918978698078358,0.4643066878266595,0.6026887548304984,0.2107908850226626,497,1,169204
E1,E1,N2,co,6,ridge,mae,0.2773406583860124,0.5580774603603206,5.499059412435753,5.221718754049741,735,0,250635
E1,E1,N2,co,6,ridge,rmse,0.3666040619710891,1.0939261983786095,15.559289632246353,15.192685570275264,735,0,250635
E1,E1,N2,co,6,ridge,smape,14.497930912941838,21.27128652887228,40.08722573470256,25.58929482176072,735,0,250635
E1,E1,N2,co,6,ridge,mase,1.5733826871941,2.3635313559721243,3.47677192807122,1.90338924087712,735,0,250635
E1,E1,N2,co,6,ridge,r2,-1.1861290156861557,-0.2535838176368667,0.1812203873286864,1.367349403014842,730,5,250635
E1,E2,N2,co,6,ridge,mae,0.3155123960432014,0.5629031417985558,3.4089585176009893,3.093446121557788,302,0,102982
E1,E2,N2,co,6,ridge,rmse,0.4170113294112236,1.1185768378639358,8.651237485878124,8.2342261564669,302,0,102982
E1,E2,N2,co,6,ridge,smape,15.489156161627957,23.439919891052856,45.4798454360233,29.990689274395347,302,0,102982
E1,E2,N2,co,6,ridge,mase,1.4407857815075622,2.563935142858538,3.52291130215093,2.0821255206433684,302,0,102982
E1,E2,N2,co,6,ridge,r2,-1.2278283699360983,-0.3306403611180821,-0.0140751231585532,1.2137532467775451,302,0,102982
E1,E3,N2,co,6,ridge,mae,5.234722433364249,5.62114030635159,6.052082320081173,0.8173598867169236,497,1,169204
