nguon,dich,mode,h,model,n_chuoi,L_p50,hieu_p50,p,p_holm,co_y_nghia,ket_luan
E1,E2,N0,1,lr,302,0.989645042279321,-0.007415455660161385,0.40286081801068574,1.0,False,không khác
E1,E2,N0,1,rf,302,1.0102379965955293,0.0034443255547057933,5.880380615759893e-07,4.116266431031925e-06,True,transfer tệ hơn đường chéo
E1,E2,N0,1,ridge,302,0.9896088181029181,-0.007428168072092678,0.39002745582783105,1.0,False,không khác
E1,E2,N0,1,svr,302,1.0041082192109851,0.0006522688472339958,0.6593488698071084,1.0,False,không khác
E1,E2,N0,1,xgb,302,1.0213200669240852,0.005458550060415596,1.538735027187637e-06,9.232410163125822e-06,True,transfer tệ hơn đường chéo
E1,E2,N0,6,lr,302,0.7966834092982554,-0.2718180432454864,3.523218841083264e-33,5.284828261624897e-32,True,transfer tốt hơn đường chéo
E1,E2,N0,6,rf,302,1.019202638686298,0.010927410952975003,5.0443196818235996e-05,0.00025221598409118,True,transfer tệ hơn đường chéo
E1,E2,N0,6,ridge,302,0.7966834793161978,-0.2718180148788393,3.523218841083264e-33,5.284828261624897e-32,True,transfer tốt hơn đường chéo
E1,E2,N0,6,svr,302,1.0288165782016918,0.004965132444768799,1.6448501513953584e-09,1.3158801211162867e-08,True,transfer tệ hơn đường chéo
E1,E2,N0,6,xgb,302,0.9961011716639636,-0.0021002427515513095,0.4817305100815281,0.4817305100815281,False,không khác
E1,E2,N0,12,lr,302,0.8127462087132717,-0.3485987252758444,5.053876687734893e-29,7.58081503160234e-28,True,transfer tốt hơn đường chéo
E1,E2,N0,12,rf,302,1.0014180607656344,0.001281986916086164,0.03239224741044182,0.09717674223132546,False,không khác
E1,E2,N0,12,ridge,302,0.8127461969517764,-0.34859884842378774,5.053876687734893e-29,7.58081503160234e-28,True,transfer tốt hơn đường chéo
E1,E2,N0,12,svr,302,1.0215992313717068,0.0032802688041002545,3.576960588742367e-05,0.000214617635324542,True,transfer tệ hơn đường chéo
E1,E2,N0,12,xgb,302,1.0020197685686678,0.001099742336652762,0.4719412680564248,0.4719412680564248,False,không khác
E1,E2,N1,1,lr,302,0.9507695911625103,-0.007155033318180043,2.481579957268507e-20,3.1670442261274283e-19,True,transfer tốt hơn đường chéo
E1,E2,N1,1,rf,302,1.0272984067294653,0.005732319300200503,1.8734746125564337e-09,1.8734746125564337e-08,True,transfer tệ hơn đường chéo
E1,E2,N1,1,ridge,302,0.9508097910954024,-0.007148969462705802,2.436187866251868e-20,3.1670442261274283e-19,True,transfer tốt hơn đường chéo
E1,E2,N1,1,svr,302,1.0046515906940616,0.0008086148955643024,0.4614611464912701,1.0,False,không khác
E1,E2,N1,1,xgb,302,1.0446286721518843,0.010215291381816247,6.256399731622468e-17,6.882039704784714e-16,True,transfer tệ hơn đường chéo
E1,E2,N1,6,lr,302,0.965483046361713,-0.006254227978464852,2.949779348162088e-11,3.539735217794505e-10,True,transfer tốt hơn đường chéo
E1,E2,N1,6,rf,302,1.0099892408918132,0.0020843022062806,0.015351705620557526,0.0614068224822301,False,không khác
E1,E2,N1,6,ridge,302,0.9654830820419522,-0.006254226259508354,2.949779348162088e-11,3.539735217794505e-10,True,transfer tốt hơn đường chéo
E1,E2,N1,6,svr,302,1.0150880136473133,0.003504443838412738,2.134059634782169e-06,1.4938417443475184e-05,True,transfer tệ hơn đường chéo
E1,E2,N1,6,xgb,302,1.0113312593328025,0.0027072987603916944,0.04451918791019318,0.13355756373057953,False,không khác
E1,E2,N1,12,lr,302,0.968606616832461,-0.010801975472477833,5.482825564202488e-10,5.4828255642024885e-09,True,transfer tốt hơn đường chéo
E1,E2,N1,12,rf,302,1.0105100063188712,0.0015965095750028989,0.001103168322487499,0.005515841612437495,True,transfer tệ hơn đường chéo
E1,E2,N1,12,ridge,302,0.9686066097208862,-0.01080200862000514,5.482825564202488e-10,5.4828255642024885e-09,True,transfer tốt hơn đường chéo
E1,E2,N1,12,svr,302,1.0214028080414268,0.004453907156668902,7.319801959644256e-06,5.123861371750979e-05,True,transfer tệ hơn đường chéo
E1,E2,N1,12,xgb,302,1.0022782221075264,0.00012085783664765246,0.10214800001179875,0.2042960000235975,False,không khác
E1,E2,N2,1,lr,302,1.0818684775093448,0.023357886272625153,1.251874775379754e-41,1.877812163069631e-40,True,transfer tệ hơn đường chéo
E1,E2,N2,1,rf,302,0.9971256792290759,-0.0016604164427050927,0.00031671608750971744,0.0015835804375485872,True,transfer tốt hơn đường chéo
E1,E2,N2,1,ridge,302,1.081633089409175,0.023282505628570635,1.418878962806221e-41,1.9864305479287097e-40,True,transfer tệ hơn đường chéo
E1,E2,N2,1,svr,302,1.0328430871708263,0.005478616840596449,3.8930298511870463e-07,3.503726866068342e-06,True,transfer tệ hơn đường chéo
E1,E2,N2,1,xgb,302,1.0154078594130365,0.0037888066697745054,4.114543809570039e-07,3.503726866068342e-06,True,transfer tệ hơn đường chéo
E1,E2,N2,6,lr,302,1.0169180448491293,0.009512116830959455,5.896312805246638e-11,5.896312805246638e-10,True,transfer tệ hơn đường chéo
E1,E2,N2,6,rf,302,0.959693676434777,-0.020428975704993947,9.857676967688957e-18,1.2814980057995644e-16,True,transfer tốt hơn đường chéo
E1,E2,N2,6,ridge,302,1.016918062961568,0.009512119325272073,5.896312805246638e-11,5.896312805246638e-10,True,transfer tệ hơn đường chéo
E1,E2,N2,6,svr,302,0.9880607673508729,-0.0038965272032845943,0.21835407030583753,0.43670814061167507,False,không khác
E1,E2,N2,6,xgb,302,0.9838425496914688,-0.00632312566671589,3.053148536477646e-06,1.8318891218865877e-05,True,transfer tốt hơn đường chéo
E1,E2,N2,12,lr,302,0.9878426562518916,-0.0055732972525101565,1.3460263586018158e-16,1.6152316303221788e-15,True,transfer tốt hơn đường chéo
E1,E2,N2,12,rf,302,0.9966250793326541,-0.0021343231326353407,0.011492823262411059,0.045971293049644237,True,transfer tốt hơn đường chéo
E1,E2,N2,12,ridge,302,0.987842661495528,-0.005573296109297299,1.3460263586018158e-16,1.6152316303221788e-15,True,transfer tốt hơn đường chéo
E1,E2,N2,12,svr,302,0.9771257473686072,-0.009735521571934108,1.2960465769401845e-22,1.6848605500222398e-21,True,transfer tốt hơn đường chéo
E1,E2,N2,12,xgb,302,0.9919188953927611,-0.002674596392803305,5.86035099952123e-07,4.688280799616984e-06,True,transfer tốt hơn đường chéo
E1,E3,N0,1,lr,497,1.0635783109430015,0.2575907299176672,3.908295987941854e-51,3.126636790353483e-50,True,transfer tệ hơn đường chéo
E1,E3,N0,1,rf,497,1.0553954399712764,0.20725043568941137,1.6990653686657734e-19,5.09719610599732e-19,True,transfer tệ hơn đường chéo
E1,E3,N0,1,ridge,497,1.0634458266192965,0.2574530386119904,4.609465033742768e-51,3.226625523619938e-50,True,transfer tệ hơn đường chéo
E1,E3,N0,1,svr,497,1.032676466358979,0.13537851715683313,0.46939073828719946,0.46939073828719946,False,không khác
E1,E3,N0,1,xgb,497,1.0710413438886377,0.28931800826599297,2.6352277985843458e-08,5.2704555971686916e-08,True,transfer tệ hơn đường chéo
E1,E3,N0,6,lr,497,0.9985741886161468,-0.007078597001195952,0.006037187095699069,0.024148748382796275,True,transfer tốt hơn đường chéo
E1,E3,N0,6,rf,497,1.0682714946434668,0.33806470777013065,4.447585359456339e-11,2.2237926797281696e-10,True,transfer tệ hơn đường chéo
E1,E3,N0,6,ridge,497,0.9987702382359779,-0.006210823403649535,0.006060203425851945,0.024148748382796275,True,transfer tốt hơn đường chéo
E1,E3,N0,6,svr,497,1.0588895095007198,0.3116584412188663,0.3320012720738871,0.3320012720738871,False,không khác
E1,E3,N0,6,xgb,497,1.065833768199642,0.3522415884811325,2.1597172567718363e-11,1.295830354063102e-10,True,transfer tệ hơn đường chéo
E1,E3,N0,12,lr,497,1.0062461242112903,0.0413015554748144,0.024211052024953814,0.09006433784087718,False,không khác
E1,E3,N0,12,rf,497,1.1277365224041491,0.74546977961952,7.724445431895857e-69,8.496889975085442e-68,True,transfer tệ hơn đường chéo
E1,E3,N0,12,ridge,497,1.006447421804939,0.04148575177952818,0.022516084460219295,0.09006433784087718,False,không khác
E1,E3,N0,12,svr,497,1.0428058631261479,0.24387921227329645,0.8137914092204304,1.0,False,không khác
E1,E3,N0,12,xgb,497,1.1091915795246803,0.6535822781113678,1.9647151110943316e-42,1.3753005777660322e-41,True,transfer tệ hơn đường chéo
E1,E3,N1,1,lr,497,0.662189096737525,-2.016031769117759,8.414262163890103e-83,1.2545465929487783e-81,True,transfer tốt hơn đường chéo
E1,E3,N1,1,rf,497,1.0634880841820087,0.2485637820409483,1.3573139046659911e-21,5.4292556186639645e-21,True,transfer tệ hơn đường chéo
