nguon,dich,mode,lich,h,model,metric,p25,p50,p75,iqr,n_chuoi,n_loai,n_dong_test
E1,E1,N1,co,1,lr,mae,0.1082163141447441,0.3893815247574376,4.438227259292602,4.3300109451478574,735,0,254310
E1,E1,N1,co,1,lr,rmse,0.2313009924812942,0.9869514687866136,10.129452115693844,9.89815112321255,735,0,254310
E1,E1,N1,co,1,lr,smape,4.750918483334798,12.957600981097125,48.42604964689694,43.67513116356214,735,0,254310
E1,E1,N1,co,1,lr,mase,0.7615273882416248,1.1169372060145697,1.7784301350416691,1.0169027468000444,735,0,254310
E1,E1,N1,co,1,lr,r2,0.0378020947051753,0.299625125915779,0.6457524963316339,0.6079504016264585,730,5,254310
E1,E2,N1,co,1,lr,mae,0.1488113598016434,0.4293219458335272,2.818945423563679,2.670134063762036,302,0,104492
E1,E2,N1,co,1,lr,rmse,0.2903711384529597,0.993906378057844,5.411946576206328,5.121575437753369,302,0,104492
E1,E2,N1,co,1,lr,smape,5.837279349232878,13.674947940121946,41.47656315559201,35.63928380635913,302,0,104492
E1,E2,N1,co,1,lr,mase,0.7674179891723076,1.0557136670318428,2.142050609301636,1.3746326201293284,302,0,104492
E1,E2,N1,co,1,lr,r2,-0.0628260102002104,0.1879807243232772,0.5570050715540773,0.6198310817542878,302,0,104492
E1,E3,N1,co,1,lr,mae,4.022083642543744,4.2647420611635285,4.553149135218076,0.5310654926743323,497,1,171716
E1,E3,N1,co,1,lr,rmse,5.312613482704724,5.667125257586419,6.275979445072741,0.9633659623680167,497,1,171716
E1,E3,N1,co,1,lr,smape,9.188158081277312,10.548380161022214,12.38122886521352,3.1930707839362054,497,1,171716
E1,E3,N1,co,1,lr,mase,0.9118894871686078,0.9726774454288746,1.0377190290564542,0.1258295418878463,497,1,171716
E1,E3,N1,co,1,lr,r2,0.6582594991444768,0.6943179978105556,0.8235532914123534,0.1652937922678766,497,1,171716
E1,E1,N1,co,1,ridge,mae,0.1082263935113072,0.389656530755852,4.43905442913791,4.3308280356266025,735,0,254310
E1,E1,N1,co,1,ridge,rmse,0.2312987507269079,0.9870448456573688,10.129159473972784,9.897860723245875,735,0,254310
E1,E1,N1,co,1,ridge,smape,4.75104617755956,12.956519925436808,48.42931006850053,43.67826389094097,735,0,254310
E1,E1,N1,co,1,ridge,mase,0.7615445708293309,1.1168978682833668,1.7786849658398671,1.0171403950105362,735,0,254310
E1,E1,N1,co,1,ridge,r2,0.0378053464413373,0.2995614316241701,0.6457741251155902,0.6079687786742528,730,5,254310
E1,E2,N1,co,1,ridge,mae,0.1488206087480797,0.4293651066205797,2.819106422929514,2.670285814181435,302,0,104492
