nguon,dich,mode,h,model,n_chuoi,L_p50,hieu_p50,p,p_holm,co_y_nghia,ket_luan
E1,E2,N0,1,lr,302,0.989645042279321,-0.007415455660161385,0.40286081801068574,1.0,False,không khác
E1,E2,N0,1,rf,302,1.0102379965955293,0.0034443255547057933,5.880380615759893e-07,4.116266431031925e-06,True,transfer tệ hơn đường chéo
E1,E2,N0,1,ridge,302,0.9896088181029181,-0.007428168072092678,0.39002745582783105,1.0,False,không khác
E1,E2,N0,1,svr,302,1.0041082192109851,0.0006522688472339958,0.6593488698071084,1.0,False,không khác
E1,E2,N0,1,xgb,302,1.0213200669240852,0.005458550060415596,1.538735027187637e-06,9.232410163125822e-06,True,transfer tệ hơn đường chéo
E1,E2,N0,6,lr,302,0.7966834092982554,-0.2718180432454864,3.523218841083264e-33,4.5801844934082435e-32,True,transfer tốt hơn đường chéo
E1,E2,N0,6,rf,302,1.019202638686298,0.010927410952975003,5.0443196818235996e-05,0.00030265918090941596,True,transfer tệ hơn đường chéo
E1,E2,N0,6,ridge,302,0.7966834793161978,-0.2718180148788393,3.523218841083264e-33,4.5801844934082435e-32,True,transfer tốt hơn đường chéo
E1,E2,N0,6,svr,302,1.0288165782016918,0.004965132444768799,1.6448501513953584e-09,1.3158801211162867e-08,True,transfer tệ hơn đường chéo
E1,E2,N0,6,xgb,302,0.9961011716639636,-0.0021002427515513095,0.4817305100815281,0.9634610201630562,False,không khác
E1,E2,N0,12,lr,302,0.8127462087132717,-0.3485987252758444,5.053876687734893e-29,7.58081503160234e-28,True,transfer tốt hơn đường chéo
E1,E2,N0,12,rf,302,1.0014180607656344,0.001281986916086164,0.03239224741044182,0.09717674223132546,False,không khác
E1,E2,N0,12,ridge,302,0.8127461969517764,-0.34859884842378774,5.053876687734893e-29,7.58081503160234e-28,True,transfer tốt hơn đường chéo
E1,E2,N0,12,svr,302,1.0215992313717068,0.0032802688041002545,3.576960588742367e-05,0.000214617635324542,True,transfer tệ hơn đường chéo
E1,E2,N0,12,xgb,302,1.0020197685686678,0.001099742336652762,0.4719412680564248,0.9438825361128496,False,không khác
E1,E2,N1,1,lr,302,0.9726291861793728,-0.005145081756391702,4.421957457608856e-19,5.748544694891512e-18,True,transfer tốt hơn đường chéo
E1,E2,N1,1,rf,302,1.0276666210293621,0.005130128033067255,2.2755018599665983e-09,2.275501859966598e-08,True,transfer tệ hơn đường chéo
E1,E2,N1,1,ridge,302,0.9725974105520018,-0.005160385415082749,4.637431774334769e-19,5.748544694891512e-18,True,transfer tốt hơn đường chéo
E1,E2,N1,1,svr,302,1.0018627811962073,0.00023418180166884586,0.39549675278709784,1.0,False,không khác
E1,E2,N1,1,xgb,302,1.0417007186279288,0.009185409801185346,3.335461955523769e-15,3.669008151076146e-14,True,transfer tệ hơn đường chéo
E1,E2,N1,6,lr,302,0.9369984813330533,-0.023246524675931482,1.0251672002906676e-35,1.5377508004360013e-34,True,transfer tốt hơn đường chéo
E1,E2,N1,6,rf,302,1.0082268672282093,0.002274209871607105,0.013583687260602426,0.06791843630301213,False,không khác
E1,E2,N1,6,ridge,302,0.9369984924010869,-0.02324652500811636,1.0251672002906676e-35,1.5377508004360013e-34,True,transfer tốt hơn đường chéo
E1,E2,N1,6,svr,302,0.9997807760778148,-5.99672326469583e-06,0.4829618853471216,0.9634610201630562,False,không khác
E1,E2,N1,6,xgb,302,1.0099775607191523,0.0018665813881997145,0.06348815368925972,0.2539526147570389,False,không khác
E1,E2,N1,12,lr,302,0.945767141747963,-0.022520043059650177,3.939048126031484e-28,5.12076256384093e-27,True,transfer tốt hơn đường chéo
E1,E2,N1,12,rf,302,1.006631709909973,0.001026337500935108,0.008536992577319751,0.04268496288659876,True,transfer tệ hơn đường chéo
E1,E2,N1,12,ridge,302,0.9457671373243883,-0.02252004492711252,3.939048126031484e-28,5.12076256384093e-27,True,transfer tốt hơn đường chéo
E1,E2,N1,12,svr,302,1.0244119305469637,0.005438597112970952,3.364934247202664e-07,2.6919473977621313e-06,True,transfer tệ hơn đường chéo
E1,E2,N1,12,xgb,302,0.9945629630448753,-0.000738483623640946,0.5656486955544806,0.9438825361128496,False,không khác
E1,E2,N2,1,lr,302,1.0818684775093448,0.023357886272625153,1.251874775379754e-41,1.877812163069631e-40,True,transfer tệ hơn đường chéo
E1,E2,N2,1,rf,302,0.9971256792290759,-0.0016604164427050927,0.00031671608750971744,0.0015835804375485872,True,transfer tốt hơn đường chéo
E1,E2,N2,1,ridge,302,1.081633089409175,0.023282505628570635,1.418878962806221e-41,1.9864305479287097e-40,True,transfer tệ hơn đường chéo
E1,E2,N2,1,svr,302,1.0328430871708263,0.005478616840596449,3.8930298511870463e-07,3.503726866068342e-06,True,transfer tệ hơn đường chéo
E1,E2,N2,1,xgb,302,1.0154078594130365,0.0037888066697745054,4.114543809570039e-07,3.503726866068342e-06,True,transfer tệ hơn đường chéo
E1,E2,N2,6,lr,302,1.0169180448491293,0.009512116830959455,5.896312805246638e-11,5.896312805246638e-10,True,transfer tệ hơn đường chéo
E1,E2,N2,6,rf,302,0.959693676434777,-0.020428975704993947,9.857676967688957e-18,1.0843444664457852e-16,True,transfer tốt hơn đường chéo
E1,E2,N2,6,ridge,302,1.016918062961568,0.009512119325272073,5.896312805246638e-11,5.896312805246638e-10,True,transfer tệ hơn đường chéo
E1,E2,N2,6,svr,302,0.9880607673508729,-0.0038965272032845943,0.21835407030583753,0.6550622109175126,False,không khác
E1,E2,N2,6,xgb,302,0.9838425496914688,-0.00632312566671589,3.053148536477646e-06,2.1372039755343523e-05,True,transfer tốt hơn đường chéo
E1,E2,N2,12,lr,302,0.9878426562518916,-0.0055732972525101565,1.3460263586018158e-16,1.3460263586018158e-15,True,transfer tốt hơn đường chéo
E1,E2,N2,12,rf,302,0.9966250793326541,-0.0021343231326353407,0.011492823262411059,0.045971293049644237,True,transfer tốt hơn đường chéo
E1,E2,N2,12,ridge,302,0.987842661495528,-0.005573296109297299,1.3460263586018158e-16,1.3460263586018158e-15,True,transfer tốt hơn đường chéo
E1,E2,N2,12,svr,302,0.9771257473686072,-0.009735521571934108,1.2960465769401845e-22,1.425651234634203e-21,True,transfer tốt hơn đường chéo
E1,E2,N2,12,xgb,302,0.9919188953927611,-0.002674596392803305,5.86035099952123e-07,4.102245699664861e-06,True,transfer tốt hơn đường chéo
E1,E3,N0,1,lr,497,1.0635783109430015,0.2575907299176672,3.908295987941854e-51,4.299125586736039e-50,True,transfer tệ hơn đường chéo
E1,E3,N0,1,rf,497,1.0553954399712764,0.20725043568941137,1.6990653686657734e-19,6.796261474663093e-19,True,transfer tệ hơn đường chéo
E1,E3,N0,1,ridge,497,1.0634458266192965,0.2574530386119904,4.609465033742768e-51,4.609465033742768e-50,True,transfer tệ hơn đường chéo
E1,E3,N0,1,svr,497,1.032676466358979,0.13537851715683313,0.46939073828719946,0.46939073828719946,False,không khác
E1,E3,N0,1,xgb,497,1.0710413438886377,0.28931800826599297,2.6352277985843458e-08,7.905683395753037e-08,True,transfer tệ hơn đường chéo
E1,E3,N0,6,lr,497,0.9985741886161468,-0.007078597001195952,0.006037187095699069,0.024148748382796275,True,transfer tốt hơn đường chéo
E1,E3,N0,6,rf,497,1.0682714946434668,0.33806470777013065,4.447585359456339e-11,3.558068287565071e-10,True,transfer tệ hơn đường chéo
E1,E3,N0,6,ridge,497,0.9987702382359779,-0.006210823403649535,0.006060203425851945,0.024148748382796275,True,transfer tốt hơn đường chéo
E1,E3,N0,6,svr,497,1.0588895095007198,0.3116584412188663,0.3320012720738871,0.3320012720738871,False,không khác
E1,E3,N0,6,xgb,497,1.065833768199642,0.3522415884811325,2.1597172567718363e-11,1.9437455310946526e-10,True,transfer tệ hơn đường chéo
E1,E3,N0,12,lr,497,1.0062461242112903,0.0413015554748144,0.024211052024953814,0.06754825338065788,False,không khác
E1,E3,N0,12,rf,497,1.1277365224041491,0.74546977961952,7.724445431895857e-69,9.269334518275029e-68,True,transfer tệ hơn đường chéo
E1,E3,N0,12,ridge,497,1.006447421804939,0.04148575177952818,0.022516084460219295,0.06754825338065788,False,không khác
E1,E3,N0,12,svr,497,1.0428058631261479,0.24387921227329645,0.8137914092204304,0.8137914092204304,False,không khác
E1,E3,N0,12,xgb,497,1.1091915795246803,0.6535822781113678,1.9647151110943316e-42,1.5717720888754653e-41,True,transfer tệ hơn đường chéo
E1,E3,N1,1,lr,497,1.0323202580348165,0.13185741221372727,1.844363584930942e-23,1.1066181509585652e-22,True,transfer tệ hơn đường chéo
E1,E3,N1,1,rf,497,1.0559841548623499,0.22112534884151192,1.6852868560915414e-37,1.3482294848732331e-36,True,transfer tệ hơn đường chéo
