env,h,model,split,metric,p25,p50,p75,iqr,n_chuoi,n_loai,n_dong_dung,n_dong_test
E1,1,ma6,test,mae,0.11039374348622902,0.40074433434260026,4.325294751812093,4.214901008325864,735,0,254310,254310
E1,1,ma6,test,rmse,0.23424405323461994,1.0593756825070895,12.27716946080728,12.042925407572659,735,0,254310,254310
E1,1,ma6,test,smape,5.0801834877109044,12.792172647779996,23.44566252959824,18.365479041887337,735,0,254310,254310
E1,1,ma6,test,mase,0.8161106061726553,1.1439163792515932,1.811272267237495,0.9951616610648397,735,0,254310,254310
E1,1,ma6,test,r2,-0.11542840513736002,0.0906816401615057,0.5065483125814079,0.6219767177187678,730,5,254310,254310
E1,1,ma6,train,mae,0.11531490983286823,0.34598823776517534,3.6503648505716084,3.53504994073874,735,0,1142276,1142276
E1,1,ma6,train,rmse,0.2916937429025369,0.9581887642433528,10.37888181170128,10.087188068798744,735,0,1142276,1142276
E1,1,ma6,train,smape,5.212248420744498,11.987657969250732,25.199333077535684,19.987084656791186,735,0,1142276,1142276
E1,1,ma6,train,mase,0.9263280526503722,1.0813670072007175,1.7162075395428456,0.7898794868924733,735,0,1142276,1142276
E1,1,ma6,train,r2,-0.06795391540577267,0.1741287114654969,0.6281799313224526,0.6961338467282253,735,0,1142276,1142276
E1,1,ma6,val,mae,0.0608475745830397,0.18779069767441856,1.833204134366925,1.7723565597838853,735,0,252840,252840
E1,1,ma6,val,rmse,0.11784473578693846,0.38510284065030326,7.550167629679889,7.43232289389295,735,0,252840,252840
E1,1,ma6,val,smape,3.496639055042688,7.923035892329583,13.944027292902042,10.447388237859354,735,0,252840,252840
E1,1,ma6,val,mase,0.4937632985818198,0.7271291936898427,1.0661822884340504,0.5724189898522306,735,0,252840,252840
E1,1,ma6,val,r2,-0.19102523346624467,-0.06318531893540591,0.5136887793451138,0.7047140128113585,730,5,252840,252840
E1,1,naive,test,mae,0.11598426461143227,0.4077071290944123,1.9981007431874485,1.8821164785760163,735,0,254310,254310
E1,1,naive,test,rmse,0.2991196434411375,1.1867281489127852,6.98023933330008,6.681119689858942,735,0,254310,254310
E1,1,naive,test,smape,4.737638720587974,9.480351502730132,15.941727763949164,11.20408904336119,735,0,254310,254310
E1,1,naive,test,mase,0.7611273607741588,0.9683267560062773,1.2175217031077912,0.4563943423336324,735,0,254310,254310
E1,1,naive,test,r2,-0.5643474806658484,0.04942370472289642,0.7287466454839717,1.2930941261498201,730,5,254310,254310
E1,1,naive,train,mae,0.12621973174903234,0.34669187145557656,2.2721713943831148,2.1459516626340824,735,0,1142276,1142276
E1,1,naive,train,rmse,0.3518612707491421,1.0947414453550728,8.414375956054613,8.062514685305471,735,0,1142276,1142276
E1,1,naive,train,smape,5.081084194533218,9.82143622968462,17.84660352199036,12.765519327457142,735,0,1142276,1142276
E1,1,naive,train,mase,0.9891089340750707,1.0014130043549285,1.0068401225171089,0.017731188442038137,735,0,1142276,1142276
E1,1,naive,train,r2,-0.41520721682482586,0.20880286702698625,0.7895018382672132,1.2047090550920392,735,0,1142276,1142276
E1,1,naive,val,mae,0.06696947674418602,0.21850775193798458,0.7554142441860465,0.6884447674418606,735,0,252840,252840
E1,1,naive,val,rmse,0.14672382462274347,0.46738593517894905,4.019547881185735,3.8728240565629917,735,0,252840,252840
E1,1,naive,val,smape,3.452463339984513,5.287879380891609,10.883223344508092,7.430760004523579,735,0,252840,252840
E1,1,naive,val,mase,0.2939609653209476,0.7036472635580959,0.9062516219109811,0.6122906565900335,735,0,252840,252840
E1,1,naive,val,r2,-0.845013739735494,-0.2732767510280192,0.7185460433899333,1.5635597831254273,730,5,252840,252840
E1,1,seasonal,test,mae,0.20455926940753533,0.5833608587943848,13.027043765483072,12.822484496075536,735,0,254310,254310
E1,1,seasonal,test,rmse,0.3681948028878185,1.336240382691116,22.378146034020247,22.00995123113243,735,0,254310,254310
E1,1,seasonal,test,smape,9.221408388845724,19.768214504439353,97.69083328553938,88.46942489669365,735,0,254310,254310
E1,1,seasonal,test,mase,1.2075337213946034,1.9019713255591706,4.8032765112539,3.5957427898592966,735,0,254310,254310
E1,1,seasonal,test,r2,-1.6981770534156468,-0.9853203627500173,-0.46504971283613794,1.233127340579509,730,5,254310,254310
E1,1,seasonal,train,mae,0.2093585405943682,0.6532879818594104,12.668729078933161,12.459370538338794,735,0,948236,1142276
E1,1,seasonal,train,rmse,0.4334447881008986,1.7147427412598322,21.238850912005315,20.805406123904415,735,0,948236,1142276
E1,1,seasonal,train,smape,10.430205507760402,19.98265128942839,75.30519893216106,64.87499342440066,735,0,948236,1142276
E1,1,seasonal,train,mase,1.3698283144798193,2.008994301509479,3.789923616392686,2.420095301912867,735,0,948236,1142276
E1,1,seasonal,train,r2,-1.1528577779718048,-0.847460776434048,-0.4801688768032426,0.6726889011685622,735,0,948236,1142276
E1,1,seasonal,val,mae,0.1109582641196013,0.3292635658914729,5.5741113900634245,5.4631531259438235,735,0,252840,252840
E1,1,seasonal,val,rmse,0.25493897795340154,0.6843299595517148,13.113085672927237,12.858146694973836,735,0,252840,252840
E1,1,seasonal,val,smape,5.524803178773821,12.917513451724203,41.35420757228308,35.82940439350926,735,0,252840,252840
E1,1,seasonal,val,mase,0.7808957398969621,1.1781799373068385,2.431001045217959,1.6501053053209969,735,0,252840,252840
E1,1,seasonal,val,r2,-3.4893336309920726,-1.2705773653776373,-0.65585143490214,2.833482196089933,730,5,252840,252840
E1,6,ma6,test,mae,0.11818996415770608,0.42628706419028994,5.698110133594005,5.579920169436299,735,0,250635,250635
E1,6,ma6,test,rmse,0.24053534273143456,1.0908746132755782,16.761858251770718,16.521322909039284,735,0,250635,250635
E1,6,ma6,test,smape,5.975263340565673,13.760307210071554,32.391318089294856,26.41605474872918,735,0,250635,250635
E1,6,ma6,test,mase,0.8569837050647096,1.3306880131911905,2.4526716409744767,1.595687935909767,735,0,250635,250635
E1,6,ma6,test,r2,-0.188417554339607,-0.018452337615464165,0.33410422191787026,0.5225217762574772,730,5,250635,250635
E1,6,ma6,train,mae,0.1194549796319708,0.3842130214917826,5.095056802219413,4.975601822587443,735,0,1138601,1138601
E1,6,ma6,train,rmse,0.30787351396939533,1.040878928315746,13.548705828008792,13.240832314039396,735,0,1138601,1138601
E1,6,ma6,train,smape,5.766418813787423,12.67005326729769,29.192617308830016,23.42619849504259,735,0,1138601,1138601
E1,6,ma6,train,mase,0.9466799910389511,1.1873334252879029,1.8602723819597582,0.9135923909208071,735,0,1138601,1138601
E1,6,ma6,train,r2,-0.06939271045403683,0.144335917536194,0.43533032365364854,0.5047230341076854,735,0,1138601,1138601
E1,6,ma6,val,mae,0.06348386945732054,0.19413307112422154,2.573054502036803,2.5095706325794827,735,0,249165,249165
E1,6,ma6,val,rmse,0.11929195936475248,0.39427740892645086,8.944144375909428,8.824852416544676,735,0,249165,249165
E1,6,ma6,val,smape,3.5101016399879237,8.2336086790159,19.594123905524604,16.08402226553668,735,0,249165,249165
E1,6,ma6,val,mase,0.5129992629400757,0.7646648245372811,1.1967934729102783,0.6837942099702026,735,0,249165,249165
E1,6,ma6,val,r2,-0.1591777117184714,-0.010399159585674611,0.3266480757711954,0.4858257874896668,730,5,249165,249165
E1,6,naive,test,mae,0.12179863147605083,0.46608015640273687,5.168768328445748,5.046969696969697,735,0,250635,250635
E1,6,naive,test,rmse,0.30507601398041123,1.3518120731553627,14.837693368810047,14.532617354829636,735,0,250635,250635
E1,6,naive,test,smape,5.863030040759953,12.383935169080653,25.40685435230823,19.543824311548278,735,0,250635,250635
E1,6,naive,test,mase,0.9419586151092707,1.365781794303431,2.2455418769135713,1.3035832618043006,735,0,250635,250635
E1,6,naive,test,r2,-0.9037456588447704,-0.445702519016671,0.26644972176894655,1.170195380613717,730,5,250635,250635
E1,6,naive,train,mae,0.12471918094547682,0.41885497561856605,4.376762762627175,4.252043581681698,735,0,1138601,1138601
E1,6,naive,train,rmse,0.3716984441165555,1.2283879416037282,13.610588864348422,13.238890420231867,735,0,1138601,1138601
E1,6,naive,train,smape,5.80328176169748,12.012250195111813,25.546867872922647,19.743586111225166,735,0,1138601,1138601
E1,6,naive,train,mase,1.079407594847537,1.258087228090883,2.0410325921589756,0.9616249973114386,735,0,1138601,1138601
E1,6,naive,train,r2,-0.7662650178740437,-0.30026757208854304,0.41703068175833197,1.1832956996323756,735,0,1138601,1138601
E1,6,naive,val,mae,0.069960668633235,0.21248770894788588,2.092395935758767,2.022435267125532,735,0,249165,249165
E1,6,naive,val,rmse,0.15176223615626244,0.5072558402507163,8.965932552137883,8.81417031598162,735,0,249165,249165
E1,6,naive,val,smape,3.9890169037529324,7.65145889724802,15.296425373492237,11.307408469739304,735,0,249165,249165
E1,6,naive,val,mase,0.5283852080815464,0.8555239171181529,1.2923746781088674,0.763989470027321,735,0,249165,249165
E1,6,naive,val,r2,-1.0160455758093905,-0.6770346320249541,0.3105985944160499,1.3266441702254403,730,5,249165,249165
E1,6,seasonal,test,mae,0.19894916911045946,0.6005301150462441,13.490272473941829,13.29132330483137,735,0,250635,250635
