xuoi,nguoc,mode,h,model,n_xuoi,n_nguoc,L_p50_xuoi,L_p50_nguoc,rank_biserial,p,p_holm,co_y_nghia,ket_luan,huong_khop_trung_vi
E1->E3,E3->E1,N0,1,lr,497,735,1.0635783109430015,2.273260609980464,-0.8294638579777988,5.287592436273086e-135,5.974979452988587e-133,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,ridge,497,735,1.0634458266192965,2.2785071125540384,-0.8306355137628492,2.2245980600422046e-135,2.5360417884481134e-133,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,rf,497,735,1.0553954399712764,2.5448584071042495,-0.9060047358983835,1.1172902031969892e-160,1.363094047900327e-158,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,xgb,497,735,1.0710413438886377,2.815831032312484,-0.9855404536059896,9.460349106611635e-190,1.2771471293925706e-187,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,svr,497,735,1.032676466358979,1.5249170020826135,-0.8438960292366444,1.1345548384907546e-139,1.3047380642643678e-137,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,lr,497,735,0.9985741886161468,3.6249816461885365,-0.8548625083836352,2.843032779970807e-143,3.297918024766136e-141,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,ridge,497,735,0.9987702382359779,3.6279461332151026,-0.8553990610328639,1.8897556487869763e-143,2.2110141090807623e-141,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,rf,497,735,1.0682714946434668,1.6192059507440244,-0.6973624057268784,5.313615683880752e-96,4.7291179586538694e-94,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,xgb,497,735,1.065833768199642,3.320470921399012,-0.9591891484964207,7.5527731260259395e-180,1.0120715988874759e-177,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,svr,497,735,1.0588895095007198,2.182185479749101,-0.9519785378940309,3.475630869173628e-177,4.553076438617453e-175,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,12,lr,497,735,1.0062461242112903,3.9125689749324732,-0.8721526437536785,4.809517063275139e-149,5.675230134664664e-147,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,12,ridge,497,735,1.006447421804939,3.9160277464010442,-0.8724975704567541,3.6794935799181015e-149,4.378597360102541e-147,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,12,rf,497,735,1.1277365224041491,1.6148358082560077,-0.6999356684323629,1.0711457906116216e-96,9.640312115504595e-95,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,12,xgb,497,735,1.1091915795246803,2.5155020126877594,-0.8757004612710275,3.0447031764391435e-150,3.653643811726972e-148,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,12,svr,497,735,1.0428058631261479,2.126384024327014,-0.9470619636184454,2.2144427426662264e-175,2.8566311380394322e-173,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,1,lr,497,735,1.0323202580348165,1.0840253734411767,-0.3453783928058145,7.3016799281506505e-25,3.1397223691047796e-23,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,1,ridge,497,735,1.0323797722444952,1.084643901336738,-0.3468840252398746,4.575169182736428e-25,2.0130744404040285e-23,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,1,rf,497,735,1.0559841548623499,1.0964594732925466,-0.2995852667022544,4.208157785837123e-19,1.5570183807597354e-17,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,1,xgb,497,735,1.0680678810570752,1.1648030806979923,-0.5645108747724442,1.483547665509481e-63,8.901285993056886e-62,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,1,svr,497,735,0.9392287297652252,1.227967563353402,-0.9445927264265868,1.7696334790607512e-174,2.2651308531977615e-172,True,ngược tốn hơn,True
