env,h,model,series_id,n_dong,mae,rmse,smape,mase,r2
E1,1,naive,E1_1,346,1.1465558766859345,8.055638183224053,12.653427903783088,1.4960844777920344,0.5559102760761477
E1,1,naive,E1_100,346,0.1229800065060181,0.1916116005929763,5.723128900805679,1.044652271098777,-1.2758279208164414
E1,1,naive,E1_1000,346,3.379479768786127,5.354970110204329,105.29137854260212,0.6159837876001392,-0.4719212074591186
E1,1,naive,E1_1002,346,0.608092485549133,0.720575663681864,31.222457346892764,1.1879667661016855,-1.6655522408768264
E1,1,naive,E1_1005,346,1.8482658959537568,3.034039649710923,11.128533647868103,0.9683267560062772,0.6249494672189637
E1,1,naive,E1_1006,346,1.2844412331406552,2.737049995565912,12.112530690224144,1.1052128864145256,0.526323200953589
E1,1,naive,E1_1007,346,0.513776493256262,0.864423880298202,2.708055731613213,1.6002073768918554,0.683336829954261
E1,1,naive,E1_1017,346,0.3516377649325626,0.4628941931368552,20.91256981184777,0.962651703817308,0.4804310001505154
E1,1,naive,E1_102,346,0.1962324525185796,0.6634356315991572,10.940637731368955,0.9211069396041636,-0.550490534516842
E1,1,naive,E1_1025,346,0.4038535645472061,1.2338617833653744,20.235913115523665,0.7422191407103721,0.9419021340473872
E1,1,naive,E1_1036,346,1.028323699421965,5.468253094683388,100.57553051304691,1.0152100815671914,0.2135292754361519
E1,1,naive,E1_1037,346,0.8554913294797688,4.311615951477809,97.12662511518184,0.9266699698912048,0.5515184963701655
E1,1,naive,E1_104,346,0.1791907514450868,0.1899024527336893,8.486791490963686,0.9148836908241116,-2.5325991593941755
E1,1,naive,E1_106,346,0.0425337186897879,0.0649928359275165,2.767134047778109,0.9695340758294796,-1.0365486674184243
E1,1,naive,E1_1063,346,0.2495183044315993,0.5247258206891295,20.72853391136708,0.9336238892701992,-0.5510337841116135
E1,1,naive,E1_107,346,0.0694329755023396,0.108478349898407,5.131697986489884,0.972786265051416,-0.9358777913787748
E1,1,naive,E1_1079,346,0.2834847233691164,0.4222679230520448,20.90035976475822,1.0663773879537202,-0.0776202946369342
E1,1,naive,E1_108,346,0.0309936691439581,0.0518579577775268,2.8275164785099127,1.0905890278321793,0.0590043896911268
E1,1,naive,E1_1081,346,0.3937517203413157,0.5136887279379835,17.263079990902767,1.0956763930042484,0.5902506363681219
E1,1,naive,E1_1087,346,0.4552986512524085,0.8395987970530002,29.339568659438942,1.4662854487700787,-0.5649355314755702
E1,1,naive,E1_109,346,0.0407755298651252,0.0634030774078929,3.813670862002172,1.0094410850974531,-1.128890966911114
E1,1,naive,E1_1091,346,0.9077897054775668,2.0759852968822483,96.5410843166139,1.0454386663538855,0.7112655589131522
E1,1,naive,E1_11,346,0.5842003853564547,3.117745014524776,12.021403624742288,0.8497757002749254,0.3791713089593639
E1,1,naive,E1_110,346,0.4369357280484449,1.3853979314502276,14.433408912645053,0.6001887059643177,0.1832280781366178
E1,1,naive,E1_111,346,0.036247591522158,0.043260457189293,3.327010603873913,0.982114140583544,0.4073743787638513
E1,1,naive,E1_112,346,0.2073940269749518,0.7968773100889608,2.36520966539322,0.591302180537092,0.6352737475816613
E1,1,naive,E1_113,346,0.0755539499036609,0.172274338564508,5.475583906175217,0.2640449608852097,0.6479039409740692
E1,1,naive,E1_114,346,0.4906430635838151,1.5112324137595643,7.94088029827756,1.6404977135695864,0.0519658160476718
E1,1,naive,E1_115,346,0.2641618497109826,1.4027899075510342,8.992471622057241,0.9078576110659652,-0.4365962571781943
E1,1,naive,E1_116,346,0.0608863198458574,0.0918045031309402,4.330102878613805,0.7616643568648138,0.186790404940456
E1,1,naive,E1_1160,346,0.5379576107899808,3.6282450818550656,19.037105964873184,0.8669799890737347,-0.1592762498552868
E1,1,naive,E1_1167,346,0.2044315992292871,0.2920263403011318,19.1452544250984,1.277829693578821,0.0160471558415578
E1,1,naive,E1_117,346,0.2792389210019267,0.9567902987692144,5.4698166247371605,3.09843410578806,-0.1500711637016321
E1,1,naive,E1_118,346,0.3485266599970358,0.6870630377719693,3.3888476622593684,1.5040675761696594,0.966738814605296
E1,1,naive,E1_1184,346,0.1637764932562621,0.1916568145209506,17.836311307230837,1.0314461713676242,-1.5883019022646128
E1,1,naive,E1_1188,346,0.2747591522157996,1.0141745079112785,20.20265306413575,0.3951175263803141,0.3762429239615733
E1,1,naive,E1_119,346,0.1998219446738233,0.428181729005493,1.5114870185935176,1.0464000882699238,0.8597156308886001
E1,1,naive,E1_12,346,0.0042389210019267,0.0253428640423235,0.3943264455104845,0.2293776974027271,-0.8859696936661927
E1,1,naive,E1_120,346,0.236211464354528,0.4933796401982503,1.742554747431566,1.51785872540132,0.8949342218933324
E1,1,naive,E1_1202,346,0.1468208092485549,1.1867281489127852,5.721469136863789,0.9457530079375212,-0.1589083649177556
E1,1,naive,E1_121,346,0.3157170382603909,0.5358160437961688,8.739533389702354,2.183856370276899,0.612779322613275
E1,1,naive,E1_122,346,0.0289894715111478,0.0522941645288904,1.3365294592090875,0.1878152016418781,0.6947935564551444
E1,1,naive,E1_1220,346,0.101091843288375,0.2656303455601584,7.862623810271237,0.7795847162728555,-1.066668690399006
E1,1,naive,E1_1221,346,0.0928621474864249,0.2264956939277749,7.716501332317814,0.965622098975424,-1.0005304007455504
E1,1,naive,E1_1225,346,0.1731626754748142,0.3802462144729911,11.269657886158363,1.0812998770697402,0.2369963417572138
E1,1,naive,E1_1226,346,2.0098472336911644,2.71618767862874,14.4058691117556,1.3094894554591223,0.6542430050633408
E1,1,naive,E1_1227,346,0.7332851637764932,0.993976318129324,8.717450521559115,2.253408154757248,-0.0470141204835099
E1,1,naive,E1_1228,346,0.3928709055876686,0.556056092756465,4.197321631799936,0.8599194251512432,0.0001329822572729
E1,1,naive,E1_1229,346,3.299373795761079,5.993312948306564,42.09843486988103,1.3263934434894311,0.235291896803109
E1,1,naive,E1_123,346,0.2230732177263969,0.9117960460234488,7.426430703399123,0.7129298319322225,0.5365441086770895
E1,1,naive,E1_1230,346,0.6334296724470135,0.8741506566859384,13.636573354402724,1.165169219356176,-0.2100904450391769
E1,1,naive,E1_1233,346,1.894267822736031,3.096100863790917,45.252973492861855,1.6066430513565069,0.0824055945819393
E1,1,naive,E1_124,346,0.0327974470134875,0.0619094409735983,0.9664957591281654,0.4056170205448873,0.0374483361284035
E1,1,naive,E1_125,346,0.3070929672447013,0.7105041716600763,3.0769431364334907,1.7286176503074264,0.9557174692152092
E1,1,naive,E1_126,346,0.0476878612716762,0.1419278166466533,2.461718237729197,0.7038492396579975,-0.0575780899663065
