env,series_id,log_muc_tai,log_cv,acf_lag1,acf_lag288,pc1,pc2,cum
E1,E1_1,0.8727689879052382,0.5071625007411789,0.9709029924843623,0.013279403518193632,1.0584693498162017,2.2336863708928347,2
E1,E1_100,0.31810533626494614,-1.148610258308443,0.008856877184929383,0.07790504111892181,-2.5505489342372285,-0.5813396390396863,0
E1,E1_1000,0.5261040114587131,0.24957483020638976,-0.08725296178385313,0.8025933060781515,-1.3777971614774862,-0.5758542904853511,0
E1,E1_1002,0.279016317752306,-0.7722019323003669,-0.559673037880199,0.6401932751789516,-3.349019965861863,-1.739947728813876,0
E1,E1_1005,1.2807493323574577,-0.4672281459057355,0.8756936439570766,0.27079124981045727,0.8000672842875536,-0.166945703755631,1
E1,E1_1006,0.9029581789126915,-0.34730363352348215,0.7742726650948046,0.5616462214818798,0.437423442293687,-0.7003655808479224,1
E1,E1_1007,1.249380129155123,-0.6727366468687824,0.9733716953664878,0.5525457737118031,1.0177345282254924,-1.2411067874830368,1
E1,E1_1017,0.1841935733849684,-0.4737548047204349,0.55267125110346,0.25961596852884883,-0.9708784023232055,0.14812219891138226,0
E1,E1_102,0.04048472732947255,-0.24938014261787558,0.2869437898365043,0.3440619360531634,-1.5280531570704965,0.22963880215606985,0
E1,E1_1025,0.6399294007996026,0.2968192268314323,0.9716357285021677,-0.06865363906311804,0.6748489061335138,2.223321264796367,2
E1,E1_1036,0.07326990845896579,0.7215651040567607,0.6856878873115329,0.14094229914503012,-0.14574715140099623,2.4030067417882397,2
E1,E1_1037,0.09362897230411556,0.7290805080015724,0.7776430437248345,0.34670831891687576,0.19186938987922847,1.8521094537851635,2
E1,E1_104,0.3264942607029241,-1.1879810127622359,-0.4773781858524209,-0.11755942899223924,-3.7580853571119044,-0.23181022103555424,0
E1,E1_106,0.1819728525565641,-1.3742442857958852,0.05923163411266063,0.3384491039709739,-2.5608181208410072,-1.6032285804482769,0
E1,E1_1063,0.2094538735007564,0.25171770802560167,0.961154487510696,-0.006599723851735741,0.25056439569368727,2.1269746891478993,2
E1,E1_107,0.12121593754270096,-1.0820140527499755,0.08959247249357813,0.3298223595404801,-2.385061667314927,-1.0983605643413734,0
E1,E1_1079,0.3195752872050001,0.2504539137700564,0.9747148912724293,0.5964992044564322,0.7004206616485321,0.3852606172360156,1
E1,E1_108,0.0339290274290796,-1.2096405829092607,0.45002322002825534,0.296853208839565,-1.750868941524347,-1.0677968077033178,0
E1,E1_1081,0.3177601390200176,-0.422125634855706,0.8006561631841443,0.5238803975286745,-0.12009759910328617,-0.49528937157980846,1
E1,E1_1087,0.02034148861897962,-0.20474659902900327,0.23728264115639838,0.1155518564715041,-1.7522800095599589,0.937250384269301,0
E1,E1_109,0.02353582587020418,-1.2379270209595703,0.04013425173272728,0.3413688514204723,-2.6728018874267367,-1.3510743652035466,0
E1,E1_1091,0.29229272470090717,0.3082972556802921,0.8485224455131355,0.78389906788104,0.5234693871831135,-0.0819132004085051,1
E1,E1_11,0.3965024023092376,0.26433114248227274,0.6910068169867926,0.8111952128059547,0.25763780981775736,-0.3086868850445602,1
E1,E1_110,1.189464857707061,0.3233743139363814,0.9938010818793527,-0.20397457371884486,1.1887680171125465,2.4596239874551893,2
E1,E1_111,0.043949470398445406,-1.1436011779749686,0.5760009899455925,0.1824078377119903,-1.480569403597065,-0.6099108082030498,0
E1,E1_112,0.6745723128598652,-0.2276405285765911,0.8741329341800195,0.31269566661733034,0.38434412178956145,0.29685648057041325,1
