nguon,dich,mode,lich,h,model,series_id,n_dong,mae,rmse,smape,mase,r2
E1,E2,N0,co,1,lr,E2_2013-8_1,346,1.2009479643859475,2.9764546119590194,159.65118117073672,0.9674423515602693,0.5134857536924582
E1,E2,N0,co,1,lr,E2_2013-8_10,346,0.2833409479043156,0.6107066921023839,18.727854582179795,0.346908449270293,-1.166003811857705
E1,E2,N0,co,1,lr,E2_2013-8_100,346,0.1368440559268384,0.235849662125423,7.466844160385759,0.543146847877535,-0.5221963910294973
E1,E2,N0,co,1,lr,E2_2013-8_101,346,0.2039034565068189,0.3390746445307716,10.53176402656628,0.9816402391678368,-0.0395405420014647
E1,E2,N0,co,1,lr,E2_2013-8_102,346,1.03680596937744,2.3344297679893247,34.773698497270935,3.4105186068391644,-1.1255011605202694
E1,E2,N0,co,1,lr,E2_2013-8_103,346,0.8164655023243421,1.8384637908312145,22.673959105767075,2.9835628647258745,-1.1403558376767022
E1,E2,N0,co,1,lr,E2_2013-8_104,346,1.0238798637473463,2.30305688091429,31.781109194565925,2.9526922814406515,-1.0363830415503572
E1,E2,N0,co,1,lr,E2_2013-8_105,346,0.8247858350955135,1.873962228143128,24.93048483582568,2.889516069424784,-0.9733954033278422
E1,E2,N0,co,1,lr,E2_2013-8_106,346,0.7540781893824513,1.6971143905564767,21.26674802861948,2.854846872207635,-1.1487076241133658
E1,E2,N0,co,1,lr,E2_2013-8_107,346,0.719685606267102,1.6207752385523269,22.928431080163527,2.966310508134845,-1.1289062889183494
E1,E2,N0,co,1,lr,E2_2013-8_108,346,0.9657923458595484,2.164749726525279,33.601758155831504,3.168473049644613,-1.2013856273820729
E1,E2,N0,co,1,lr,E2_2013-8_109,346,1.1238801129123233,2.558238227701767,28.759404727602845,3.0069293419055745,-1.0645255389570134
E1,E2,N0,co,1,lr,E2_2013-8_11,346,0.240028591246157,0.3888363592372768,11.797518644869331,0.9075888286979952,-0.8644553114136302
E1,E2,N0,co,1,lr,E2_2013-8_110,346,0.9545221075885776,2.158016556359942,21.00972889114697,2.902849231241354,-1.1397881688986398
E1,E2,N0,co,1,lr,E2_2013-8_111,346,1.031165558305808,2.33801315371598,28.0735279956378,3.120538410598759,-1.1354052474832188
E1,E2,N0,co,1,lr,E2_2013-8_112,346,1.2591297925510128,2.810838659968254,32.589345258088166,3.32862409435999,-1.0744938319595594
E1,E2,N0,co,1,lr,E2_2013-8_113,346,0.7949382554498068,1.7840825812897998,30.49589182305508,3.0729102946320213,-1.1423857079999329
E1,E2,N0,co,1,lr,E2_2013-8_114,346,0.3393172345569311,1.714331934299939,9.84096273510369,2.2276140638645945,-0.8307339243985268
E1,E2,N0,co,1,lr,E2_2013-8_115,346,0.2025054095751334,0.893805446524296,7.433079866820118,1.1810456093517914,-0.118557951177006
E1,E2,N0,co,1,lr,E2_2013-8_116,346,0.2062449775712434,0.8399244844467303,7.668301222234179,1.2167652054226337,0.0044558409719529
E1,E2,N0,co,1,lr,E2_2013-8_117,346,0.2209271069554183,1.030344751587052,8.113142531458282,1.4559117986668335,-0.3108271866031182
E1,E2,N0,co,1,lr,E2_2013-8_118,346,0.2463688949974828,1.1517676551785463,9.235006561636371,1.511531053225356,-0.2460711909187294
E1,E2,N0,co,1,lr,E2_2013-8_119,346,0.2698247348269536,1.23732497733194,9.801423881721744,1.7628622748743228,-0.5849074333736253
E1,E2,N0,co,1,lr,E2_2013-8_12,346,0.2462767222528329,0.4052474202998174,4.154575198865586,1.3613664920665207,0.0653320378685829
E1,E2,N0,co,1,lr,E2_2013-8_120,346,0.2469680813196254,1.0916695362248787,7.634687689761925,1.2978633466240257,-0.1308913522728778
E1,E2,N0,co,1,lr,E2_2013-8_121,346,0.2337746423813878,0.968897966554934,7.775860383253108,1.7434965166410412,-0.1585746328965447
E1,E2,N0,co,1,lr,E2_2013-8_128,346,0.1770440726449225,0.7985980567638581,6.315229444882324,1.1845687551905872,0.032067627373889
E1,E2,N0,co,1,lr,E2_2013-8_129,346,0.1703179281444066,0.7883463248219028,6.013804593991834,1.04416125562699,0.0671768222356364
E1,E2,N0,co,1,lr,E2_2013-8_13,346,0.2186074652117804,0.3803826638967718,16.39282016740283,1.1551888952678442,-1.122559865334877
E1,E2,N0,co,1,lr,E2_2013-8_130,346,0.2017921306006747,0.8380569129584619,7.005197530053069,1.3365452806018725,-0.0002119675859324
E1,E2,N0,co,1,lr,E2_2013-8_131,346,0.0892395341679182,0.1631314873793563,5.45349961797675,0.9666539365751629,0.1312498110558966
E1,E2,N0,co,1,lr,E2_2013-8_132,346,0.0847195089143848,0.1541397135431856,4.965420905358775,1.0243479831490812,-0.0985662749234606
E1,E2,N0,co,1,lr,E2_2013-8_133,346,0.0982624431255293,0.152193327785165,6.379887398403823,1.0499258752940566,0.0900452827756367
E1,E2,N0,co,1,lr,E2_2013-8_134,346,0.1078197068039711,0.1839079841516483,6.840879563305076,1.1034753411176497,0.4991173886168372
E1,E2,N0,co,1,lr,E2_2013-8_135,346,0.102033518234805,0.149548372645764,6.087849879379983,1.2202990960786666,-0.4526215350471216
E1,E2,N0,co,1,lr,E2_2013-8_136,346,0.1127084059347157,0.1708946520247549,6.889666523205551,1.3705113457223264,0.0799921093502596
E1,E2,N0,co,1,lr,E2_2013-8_137,346,0.0916122792418108,0.1307679291485029,5.194815257870697,1.2409982104697408,0.2285521339328471
E1,E2,N0,co,1,lr,E2_2013-8_138,346,0.0957599617334764,0.1690935453198049,5.988047192129016,1.2149616423191365,-1.2447974248614346
E1,E2,N0,co,1,lr,E2_2013-8_139,346,0.0931437371373108,0.1321636947445763,5.586251723513713,1.068712721037312,-0.8430858423386425
E1,E2,N0,co,1,lr,E2_2013-8_14,346,0.1517974123955913,0.2443132100100318,14.01623430144054,1.3737775802215728,-1.3375899869393917
E1,E2,N0,co,1,lr,E2_2013-8_140,346,0.0937002873631108,0.1448708879252394,6.020655158245964,1.035617774941763,0.485705531059289
E1,E2,N0,co,1,lr,E2_2013-8_141,346,0.1035390924170385,0.1664477862763879,5.561191104776089,1.145130470850298,-0.8291594134492084
E1,E2,N0,co,1,lr,E2_2013-8_142,346,0.0994466902855551,0.1442278765238893,5.222874089281558,1.0219666307158664,-0.8000650308890751
E1,E2,N0,co,1,lr,E2_2013-8_143,346,0.0973246725029678,0.1588697500102855,5.941836091069719,1.1501154206748874,-1.2113851020298814
E1,E2,N0,co,1,lr,E2_2013-8_144,346,0.0948867558327822,0.1499040754332339,5.745032423490332,1.1075117576302622,-0.9684644610573658
E1,E2,N0,co,1,lr,E2_2013-8_145,346,0.0944623289584915,0.1647686264867137,6.243468503625303,1.0759576976821077,-1.125467867490524
E1,E2,N0,co,1,lr,E2_2013-8_146,346,0.0952301054693136,0.1379763705444403,5.300754269458965,1.0365505820488008,-1.0937599120331385
E1,E2,N0,co,1,lr,E2_2013-8_147,346,0.1050271147936943,0.176965990681226,6.623119429412537,1.2397908589391629,0.0331256756140987
E1,E2,N0,co,1,lr,E2_2013-8_148,346,0.1070308569225268,0.1761891112910821,7.006581756051316,1.0688411943976115,-0.0397147323751911
E1,E2,N0,co,1,lr,E2_2013-8_149,346,0.1077120940284335,0.154541108777525,5.173043854872121,1.0998782214690557,0.3171718129406927
E1,E2,N0,co,1,lr,E2_2013-8_150,346,0.0983321505363532,0.1397498192155396,6.1805487159093735,1.223460087485332,-1.154569389884838
E1,E2,N0,co,1,lr,E2_2013-8_151,346,0.0965248405569286,0.1451572575240152,4.415581111861918,0.8760053595637318,0.3585168221301094
E1,E2,N0,co,1,lr,E2_2013-8_152,346,0.1031824684336115,0.1570492066640597,6.475172904763412,1.022768828756534,-0.5870615047108145
E1,E2,N0,co,1,lr,E2_2013-8_153,346,0.0958168416950452,0.148069564263695,5.799018806530768,1.0242416714230884,-0.5557016357401998
E1,E2,N0,co,1,lr,E2_2013-8_154,346,0.1064879551596961,0.16991634440335,7.4048664333007235,1.1574202200541963,-0.367237798016065
E1,E2,N0,co,1,lr,E2_2013-8_155,346,0.0989450792680573,0.1383260061287479,7.054384655494195,1.0517835680815375,-0.5022227382480988
E1,E2,N0,co,1,lr,E2_2013-8_156,346,0.1014744319556544,0.1658581809942512,6.081540413004928,1.2045932320691015,-1.174028345371288
E1,E2,N0,co,1,lr,E2_2013-8_157,346,0.1071352047088213,0.1800417468659449,7.094130561859727,1.1113054646666285,-0.0621163231258568
