env,h,model,tang,metric,p25,p50,p75,iqr,n_chuoi,n_loai,cv_p50,ti_le_cham_chan_p50
E1,1,naive,thap,mae,0.0621112028626479,0.0802504816955684,0.1824662813102119,0.12035507844756399,245,0,0.130146,0.019106
E1,1,naive,thap,rmse,0.1353856648360125,0.165280847377895,0.3620890481365874,0.22670338330057488,245,0,0.130146,0.019106
E1,1,naive,thap,smape,3.337969474589708,4.12800257335357,6.272570250064498,2.93460077547479,245,0,0.130146,0.019106
E1,1,naive,thap,mase,0.8307747592948377,0.946121127397644,1.0780149879201768,0.24724022862533912,245,0,0.130146,0.019106
E1,1,naive,thap,r2,-0.6699086186287546,-0.3356570287525739,0.0451219522872672,0.7150305709160218,245,0,0.130146,0.019106
E1,1,naive,vua,mae,0.2485549132947976,0.4315717038260391,2.953275529865125,2.7047206165703277,245,0,0.497391,0.085579
E1,1,naive,vua,rmse,0.5723561148079018,1.3890064336900567,7.270797785769748,6.698441670961846,245,0,0.497391,0.085579
E1,1,naive,vua,smape,8.95322825821486,11.792311307013495,18.30410630394523,9.350878045730369,245,0,0.497391,0.085579
E1,1,naive,vua,mase,0.8853996256983245,1.1122535799872937,1.420596375081398,0.5351967493830734,245,0,0.497391,0.085579
E1,1,naive,vua,r2,-0.8065886563272897,-0.1089530567768326,0.6917667621702497,1.4983554184975394,243,2,0.497391,0.085579
E1,1,naive,cao,mae,0.7485411505642718,1.859947013487476,3.225457610789981,2.476916460225709,245,0,1.266228,0.694067
E1,1,naive,cao,rmse,3.117745014524776,6.962432358128272,10.022494819979013,6.904749805454237,245,0,1.266228,0.694067
E1,1,naive,cao,smape,8.33555819779958,13.376412768271214,29.92273466225865,21.58717646445907,245,0,1.266228,0.694067
E1,1,naive,cao,mase,0.5839333828994213,0.8367396634823697,1.1039610210476345,0.5200276381482132,245,0,1.266228,0.694067
E1,1,naive,cao,r2,0.2365842969309036,0.713282829974674,0.9476318756516905,0.7110475787207868,242,3,1.266228,0.694067
E1,1,ma6,thap,mae,0.0552114872924121,0.0777697495183044,0.1575557390586293,0.1023442517662172,245,0,0.130146,0.019106
E1,1,ma6,thap,rmse,0.1112555392261344,0.140771424636511,0.3010317897546278,0.1897762505284934,245,0,0.130146,0.019106
E1,1,ma6,thap,smape,3.0622440823392183,3.97165173624494,5.950169704755175,2.8879256224159566,245,0,0.130146,0.019106
E1,1,ma6,thap,mase,0.7213956118908976,0.8219765480984939,1.001045751938586,0.2796501400476884,245,0,0.130146,0.019106
E1,1,ma6,thap,r2,-0.096395123485234,0.0698167344026071,0.2820932962914985,0.3784884197767325,245,0,0.130146,0.019106
E1,1,ma6,vua,mae,0.2425176621708413,0.456631342324984,4.796119483438847,4.553601821268006,245,0,0.497391,0.085579
E1,1,ma6,vua,rmse,0.4905191915566381,1.106598898343685,9.332567482418067,8.84204829086143,245,0,0.497391,0.085579
E1,1,ma6,vua,smape,10.201720156691923,14.607210817754543,26.55978800915696,16.358067852465037,245,0,0.497391,0.085579
E1,1,ma6,vua,mase,0.9173821442258288,1.3056787657808495,1.9049416510065773,0.9875595067807486,245,0,0.497391,0.085579
E1,1,ma6,vua,r2,-0.13900671378354984,-0.0295000849493991,0.5509444902037752,0.689951203987325,243,2,0.497391,0.085579
E1,1,ma6,cao,mae,1.1977360308285163,4.152954399486192,7.449008509955041,6.251272479126524,245,0,1.266228,0.694067
E1,1,ma6,cao,rmse,3.603283869842785,12.285131299479785,18.62422097612776,15.020937106284974,245,0,1.266228,0.694067
E1,1,ma6,cao,smape,16.96529003361512,22.08187639785033,41.41267086972357,24.44738083610845,245,0,1.266228,0.694067
E1,1,ma6,cao,mase,1.1011392884715008,1.6905258792188629,2.307487383685094,1.2063480952135932,245,0,1.266228,0.694067
E1,1,ma6,cao,r2,-0.12648228591605984,0.3145568553773421,0.8146995766111804,0.9411818625272402,242,3,1.266228,0.694067
E1,1,seasonal,thap,mae,0.1042818693830254,0.1531493715019726,0.2988680154142581,0.1945861460312327,245,0,0.130146,0.019106
E1,1,seasonal,thap,rmse,0.1767790760764108,0.2753519505803003,0.4666958657476436,0.2899167896712328,245,0,0.130146,0.019106
E1,1,seasonal,thap,smape,5.525209077149342,7.733662692222057,12.640722967869609,7.115513890720266,245,0,0.130146,0.019106
E1,1,seasonal,thap,mase,1.1226695893313985,1.5057395872403283,2.0455671125496915,0.922897523218293,245,0,0.130146,0.019106
E1,1,seasonal,thap,r2,-1.3477901276437128,-0.991681634311992,-0.6977894425367865,0.6500006851069262,245,0,0.130146,0.019106
E1,1,seasonal,vua,mae,0.3241707954858243,0.6644688644688644,9.899494219653178,9.575323424167355,245,0,0.497391,0.085579
E1,1,seasonal,vua,rmse,0.7296230687109883,1.381718567111646,16.33149236434204,15.601869295631051,245,0,0.497391,0.085579
E1,1,seasonal,vua,smape,12.93795933236144,23.95828669858576,56.62207449500354,43.6841151626421,245,0,0.497391,0.085579
E1,1,seasonal,vua,mase,1.2005728902823671,1.7904008502062876,3.5553638022965264,2.3547909120141592,245,0,0.497391,0.085579
