env,h,model_a,model_b,n_chuoi,mae_p50_a,mae_p50_b,delta_p50,hieu_p50,n_a_thap_hon,thong_ke,p,p_holm,co_y_nghia,tot_hon
E1,1,naive,ma6,735,0.4077071290944123,0.4007443343426002,0.006962794751812107,-0.0130378933847142,426,69231.5,5.240671764287098e-29,4.192537411429678e-28,True,naive
E1,1,naive,seasonal,735,0.4077071290944123,0.5833608587943848,-0.1756537296999725,-0.1808526011560695,629,17784.0,2.671927137295683e-91,5.878239702050503e-90,True,naive
E1,1,naive,lr,735,0.4077071290944123,0.5508031015451244,-0.14309597245071204,-0.10056522953717,727,933.0,2.492167133978245e-120,6.755155725369897e-119,True,naive
E1,1,naive,ridge,735,0.4077071290944123,0.5510983478127187,-0.1433912187183064,-0.1007292435118683,727,925.0,2.4125556162035348e-120,6.755155725369897e-119,True,naive
E1,1,naive,rf,735,0.4077071290944123,0.384985425513396,0.022721703581016328,-0.010859331156709506,449,84652.0,1.5573400661378966e-18,9.34404039682738e-18,True,naive
E1,1,naive,xgb,735,0.4077071290944123,0.3968713356350657,0.010835793459346599,-0.0165446952325794,463,76358.0,1.51895305270166e-24,1.063267136891162e-23,True,naive
E1,1,naive,svr,735,0.4077071290944123,0.3781031902858683,0.029603938808544006,-0.012547535725049797,440,85089.0,3.050517194117684e-18,1.525258597058842e-17,True,naive
E1,1,ma6,seasonal,735,0.4007443343426002,0.5833608587943848,-0.1826165244517846,-0.15105681088340073,638,20740.0,8.976313801252183e-87,1.8850258982629584e-85,True,ma6
E1,1,ma6,lr,735,0.4007443343426002,0.5508031015451244,-0.15005876720252415,-0.05353582245962961,440,110413.0,1.6205932335473603e-05,4.861779700642081e-05,True,ma6
E1,1,ma6,ridge,735,0.4007443343426002,0.5510983478127187,-0.1503540134701185,-0.053533709124694503,440,110462.0,1.6841334322497204e-05,4.861779700642081e-05,True,ma6
E1,1,ma6,rf,735,0.4007443343426002,0.384985425513396,0.01575890882920422,0.0316200754518233,269,55650.0,1.8742044982478305e-43,2.4364658477221796e-42,True,rf
E1,1,ma6,xgb,735,0.4007443343426002,0.3968713356350657,0.003872998707534492,0.0193944790153526,299,64850.0,2.3026592497485966e-34,2.0723933247737368e-33,True,xgb
E1,1,ma6,svr,735,0.4007443343426002,0.3781031902858683,0.0226411440567319,0.031771330191816105,240,52990.0,2.749730601810385e-46,3.849622842534539e-45,True,svr
E1,1,seasonal,lr,735,0.5833608587943848,0.5508031015451244,0.032557757249260466,0.08933521245026638,270,60227.0,8.562222784166728e-39,1.0274667341000074e-37,True,lr
E1,1,seasonal,ridge,735,0.5833608587943848,0.5510983478127187,0.032262510981666104,0.08924243316944397,270,60275.0,9.550114862922095e-39,1.0505126349214305e-37,True,ridge
E1,1,seasonal,rf,735,0.5833608587943848,0.384985425513396,0.19837543328098883,0.184696029667006,85,11705.0,4.197135861872342e-102,1.0912553240868089e-100,True,rf
E1,1,seasonal,xgb,735,0.5833608587943848,0.3968713356350657,0.1864895231593191,0.19179260452818092,95,15225.0,1.7784768310580898e-96,4.2683443945394156e-95,True,xgb
E1,1,seasonal,svr,735,0.5833608587943848,0.3781031902858683,0.2052576685085165,0.19247545221978768,95,17240.0,2.5024287798974873e-93,5.7555861937642204e-92,True,svr
E1,1,lr,ridge,735,0.5508031015451244,0.5510983478127187,-0.00029524626759436234,-0.00015095120909586202,682,12979.0,4.767343651863094e-100,1.1918359129657735e-98,True,lr
E1,1,lr,rf,735,0.5508031015451244,0.384985425513396,0.16581767603172837,0.0837647517333559,73,22431.0,1.8390106983121952e-85,3.494120326793171e-84,True,rf
E1,1,lr,xgb,735,0.5508031015451244,0.3968713356350657,0.15393176591005864,0.06881074224855839,110,43873.0,1.0654591106933562e-56,1.5981886660400341e-55,True,xgb
E1,1,lr,svr,735,0.5508031015451244,0.3781031902858683,0.17269991125925604,0.0963001812947597,71,24709.0,4.031068689709047e-82,6.85281677250538e-81,True,svr
E1,1,ridge,rf,735,0.5510983478127187,0.384985425513396,0.16611292229932273,0.08396538992559338,73,22345.0,1.371297284575494e-85,2.742594569150988e-84,True,rf
E1,1,ridge,xgb,735,0.5510983478127187,0.3968713356350657,0.154227012177653,0.06901385508520749,110,43634.0,5.495551642017398e-57,8.792882627227837e-56,True,xgb
E1,1,ridge,svr,735,0.5510983478127187,0.3781031902858683,0.1729951575268504,0.09644161615719421,71,24613.0,2.924140131752699e-82,5.263452237154859e-81,True,svr
E1,1,rf,xgb,735,0.384985425513396,0.3968713356350657,-0.01188591012166973,-0.007682949803005892,511,64046.0,4.0911250599406634e-35,4.091125059940663e-34,True,rf
E1,1,rf,svr,735,0.384985425513396,0.3781031902858683,0.006882235227527678,-0.004929616333105895,413,113372.0,0.00014601856289918656,0.00014601856289918656,True,rf
E1,1,xgb,svr,735,0.3968713356350657,0.3781031902858683,0.018768145349197407,0.006746735933974735,326,106325.0,5.12496334065002e-07,2.049985336260008e-06,True,svr
E1,6,naive,ma6,735,0.4660801564027368,0.4262870641902899,0.03979309221244692,0.006647116324535796,295,120979.0,0.060030978887393574,0.07588201529543646,False,không kết luận
