nguon,dich,N0,N1,N2
E1,E2,1.0014180607656344,0.9997807760778148,0.985762014564699
E1,E3,1.0588895095007198,1.0323797722444952,1.032436474206033
E2,E1,1.0644778166425155,1.0628059830784464,1.0864596548209204
E2,E3,1.0703989958011584,1.0436672702871448,1.0479981810383967
E3,E1,2.5155020126877594,1.3321668263628836,1.5879118087188406
E3,E2,2.818512144323389,1.2349028724440827,1.618414097492574
