env,h,model,split,metric,p25,p50,p75,iqr,n_chuoi,n_loai,n_dong_dung,n_dong_test
E1,1,naive,test,mae,0.1159842646114322,0.4077071290944123,1.9981007431874485,1.8821164785760165,735,0,254310,254310
E1,1,naive,test,rmse,0.2991196434411375,1.1867281489127852,6.98023933330008,6.681119689858942,735,0,254310,254310
E1,1,naive,test,smape,4.737638720587974,9.480351502730132,15.941727763949164,11.20408904336119,735,0,254310,254310
E1,1,naive,test,mase,0.7611273607741588,0.9683267560062772,1.2175217031077912,0.4563943423336324,735,0,254310,254310
E1,1,naive,test,r2,-0.5643474806658484,0.0494237047228964,0.7287466454839717,1.29309412614982,730,5,254310,254310
E1,1,ma6,test,mae,0.110393743486229,0.4007443343426002,4.325294751812093,4.214901008325864,735,0,254310,254310
E1,1,ma6,test,rmse,0.2342440532346199,1.0593756825070897,12.27716946080728,12.04292540757266,735,0,254310,254310
E1,1,ma6,test,smape,5.080183487710904,12.792172647779996,23.44566252959824,18.365479041887337,735,0,254310,254310
E1,1,ma6,test,mase,0.8161106061726553,1.1439163792515932,1.811272267237495,0.9951616610648396,735,0,254310,254310
E1,1,ma6,test,r2,-0.11542840513736,0.0906816401615057,0.5065483125814079,0.6219767177187678,730,5,254310,254310
E1,1,seasonal,test,mae,0.2045592694075353,0.5833608587943848,13.027043765483072,12.822484496075536,735,0,254310,254310
E1,1,seasonal,test,rmse,0.3681948028878185,1.336240382691116,22.378146034020247,22.00995123113243,735,0,254310,254310
E1,1,seasonal,test,smape,9.221408388845724,19.76821450443936,97.69083328553938,88.46942489669365,735,0,254310,254310
E1,1,seasonal,test,mase,1.2075337213946034,1.9019713255591704,4.8032765112539,3.5957427898592966,735,0,254310,254310
E1,1,seasonal,test,r2,-1.6981770534156468,-0.9853203627500172,-0.4650497128361379,1.233127340579509,730,5,254310,254310
E1,1,lr,test,mae,0.1767943549477755,0.5508031015451244,3.652887424351655,3.47609306940388,735,0,254310,254310
E1,1,lr,test,rmse,0.3263575858917743,1.2114006497061809,7.481594411489539,7.155236825597765,735,0,254310,254310
E1,1,lr,test,smape,8.59917939604708,16.68386080611766,26.44746788549104,17.848288489443956,735,0,254310,254310
E1,1,lr,test,mase,1.1137230166811314,1.4314329855241026,1.884371823594543,0.7706488069134116,735,0,254310,254310
E1,1,lr,test,r2,-0.9658599213869448,-0.0839313022483345,0.7303545058693893,1.6962144272563342,730,5,254310,254310
E1,1,ridge,test,mae,0.1768773549324285,0.5510983478127187,3.655520341358925,3.4786429864264963,735,0,254310,254310
E1,1,ridge,test,rmse,0.3265025626883182,1.211487351467645,7.484870838957052,7.1583682762687335,735,0,254310,254310
E1,1,ridge,test,smape,8.601316450700441,16.68871118619506,26.457333696381568,17.856017245681127,735,0,254310,254310
E1,1,ridge,test,mase,1.114655996626822,1.43317359129404,1.8855800663044489,0.7709240696776265,735,0,254310,254310
E1,1,ridge,test,r2,-0.9668736359197264,-0.0843787593629916,0.7304050573272836,1.69727869324701,730,5,254310,254310
E1,1,xgb,test,mae,0.1243510949580491,0.3968713356350657,2.753739495486423,2.6293884005283736,735,0,254310,254310
E1,1,xgb,test,rmse,0.2453102734769135,1.0061869338239262,6.995002542780234,6.74969226930332,735,0,254310,254310
E1,1,xgb,test,smape,5.512746750128168,12.248660164337537,27.237665589616256,21.72491883948809,735,0,254310,254310
E1,1,xgb,test,mase,0.8135848173268976,1.019949072905992,1.387895048241789,0.5743102309148918,735,0,254310,254310
E1,1,xgb,test,r2,-0.0691041364422466,0.2764022823242335,0.7341631766624963,0.803267313104743,730,5,254310,254310
E1,6,naive,test,mae,0.1217986314760508,0.4660801564027368,5.168768328445748,5.046969696969697,735,0,250635,250635
E1,6,naive,test,rmse,0.3050760139804112,1.351812073155363,14.837693368810047,14.532617354829636,735,0,250635,250635
E1,6,naive,test,smape,5.863030040759953,12.383935169080653,25.40685435230823,19.54382431154828,735,0,250635,250635
E1,6,naive,test,mase,0.9419586151092708,1.365781794303431,2.245541876913572,1.3035832618043006,735,0,250635,250635
E1,6,naive,test,r2,-0.9037456588447704,-0.445702519016671,0.2664497217689465,1.170195380613717,730,5,250635,250635
