nguon,dich,mode,lich,h,model,series_id,n_dong,mae,rmse,smape,mase,r2
E1a,E1a,N0,co,1,lr,E1_1,346,1.812797389474205,8.212323337464337,30.14245475914424,2.3654303212970924,0.5384668493091576
E1a,E1a,N0,co,1,lr,E1_1000,346,3.236309553485919,4.282539661451206,119.99466317743055,0.5898878978402112,0.058602050538733
E1a,E1a,N0,co,1,lr,E1_1007,346,0.5332511566641701,0.8791304397354552,2.837270641718644,1.6608631298444858,0.6724703068498723
E1a,E1a,N0,co,1,lr,E1_1025,346,0.4690527330885388,1.3676611051519012,22.75213164056476,0.8620449268317231,0.9286187503522384
E1a,E1a,N0,co,1,lr,E1_1063,346,0.2898568383079438,0.5299801386535105,23.91376689471408,1.0845587834892103,-0.5822517165972372
E1a,E1a,N0,co,1,lr,E1_109,346,0.1132852631224453,0.1413391565785343,10.137369285251053,2.804495718636334,-9.579319527731322
E1a,E1a,N0,co,1,lr,E1_110,346,0.5241567992862007,1.380700964490856,20.09792438323866,0.7199983221585011,0.1887569552642164
E1a,E1a,N0,co,1,lr,E1_113,346,0.1352020568146539,0.2084177092744838,9.735375290430742,0.4725023886738635,0.4846654997453582
E1a,E1a,N0,co,1,lr,E1_115,346,0.3543072564236089,1.3957343059708076,12.955243339060749,1.217664623987151,-0.4221813256769877
E1a,E1a,N0,co,1,lr,E1_116,346,0.1290095052851025,0.1573891476643249,8.821447926292269,1.6138591086009113,-1.3901441400987338
E1a,E1a,N0,co,1,lr,E1_1160,346,0.7297074543227882,3.872873808315671,23.366700589436988,1.1760067114707624,-0.3208709865962162
E1a,E1a,N0,co,1,lr,E1_118,346,0.4001396417868199,0.7136576848988826,3.75900995999852,1.7268035138454445,0.964114050136012
E1a,E1a,N0,co,1,lr,E1_1188,346,0.3343413491448183,0.99250987828126,22.73690356096988,0.4807997323306673,0.4026074789840709
E1a,E1a,N0,co,1,lr,E1_119,346,0.2328321221926561,0.4434685401554102,1.7528809710969693,1.219263247648622,0.8495200449568984
E1a,E1a,N0,co,1,lr,E1_120,346,0.2698196529662609,0.5086994225036947,2.007235576964882,1.733819802771755,0.8883081916243675
E1a,E1a,N0,co,1,lr,E1_121,346,0.3461452458519821,0.5468466810158703,9.561545400203167,2.39433229311955,0.5966720911465905
E1a,E1a,N0,co,1,lr,E1_1221,346,0.1722994910792244,0.2726615342694294,14.57085402671332,1.791647089064355,-1.8991654756747216
E1a,E1a,N0,co,1,lr,E1_1225,346,0.2884792266269358,0.4168810909246057,20.7449380214782,1.8013844579009683,0.0828904513246879
E1a,E1a,N0,co,1,lr,E1_1226,346,2.21947179815652,2.8548615072326875,16.26867027523344,1.4460675755127854,0.6180368068889063
E1a,E1a,N0,co,1,lr,E1_1227,346,0.7280879306033448,0.9867188684079006,8.615949319855408,2.237436895289468,-0.031780534571574
E1a,E1a,N0,co,1,lr,E1_1228,346,0.4127412915153503,0.5538561944735177,4.428204043099236,0.9034119072909076,0.0080287850955377
E1a,E1a,N0,co,1,lr,E1_1229,346,3.3595345645777868,5.858037736145933,47.46992052021024,1.3505788963218095,0.2694228057408062
E1a,E1a,N0,co,1,lr,E1_1230,346,0.6409211036891428,0.8628559523878456,13.860649823250329,1.1789494154409788,-0.1790218516266761
E1a,E1a,N0,co,1,lr,E1_1233,346,2.0358718404079634,3.134841997522614,52.03973453913196,1.726745978886664,0.0592984303787935
E1a,E1a,N0,co,1,lr,E1_125,346,0.3428281947383334,0.687252319624906,3.505554864222997,1.9297702378690336,0.958568410265004
E1a,E1a,N0,co,1,lr,E1_126,346,0.1191799804038057,0.1826550794584487,6.399780407286229,1.759037548607706,-0.7516240894575568
E1a,E1a,N0,co,1,lr,E1_127,346,0.1067902049172444,0.138388610538469,5.973914929136478,2.2325816388668427,-4.108097652474389
E1a,E1a,N0,co,1,lr,E1_131,346,0.1590856684459515,0.2713491509814462,7.1504553217054605,1.93480222227734,0.1734999056764881
E1a,E1a,N0,co,1,lr,E1_132,346,0.1066290576326228,0.1300761180138692,6.439826026245665,3.1119458667781763,0.1622485582570277
E1a,E1a,N0,co,1,lr,E1_133,346,0.1059092575103603,0.1530346603168561,2.7949880564103524,3.277604780390263,-0.4301241127337079
E1a,E1a,N0,co,1,lr,E1_134,346,0.6359784167137373,1.479673825611437,12.637292687261072,2.333308298405562,0.7764012608464231
E1a,E1a,N0,co,1,lr,E1_137,346,0.1249750272882081,0.1861444862847715,9.762150583599484,2.865635425851786,-1.2499769619385486
E1a,E1a,N0,co,1,lr,E1_139,346,0.133324470477849,0.2207064741937056,8.944649721812182,2.574596607010066,-1.347581061436523
