series_id,env,mean,std,n_diem,cv,cv_chan,ti_le_cham_chan
E1_15,E1,2.561392,0.491155,2304,0.191753,6.16776,0.03109
E1_150,E1,1.569987,4.097568,2304,2.609937,7.918004,0.329621
E1_155,E1,3.350996,0.774917,2304,0.23125,5.370463,0.04306
E1_156,E1,4.888834,4.088656,2304,0.836325,4.410757,0.18961
E1_157,E1,3.174445,3.199182,2053,1.007793,5.522823,0.182478
E1_159,E1,3.460604,0.619468,2304,0.179006,5.281731,0.033891
E1_160,E1,3.115993,0.293769,2304,0.094278,5.576065,0.016908
E1_164,E1,1.58465,0.258459,2304,0.163102,7.880699,0.020696
E1_165,E1,1.915017,0.242417,2304,0.126587,7.156734,0.017688
E1_166,E1,1.645595,0.28256,2304,0.171707,7.730997,0.02221
E1_167,E1,2.062124,0.329045,2304,0.159566,6.891566,0.023154
E1_168,E1,13.940029,0.918086,2304,0.06586,2.48467,0.026506
E1_172,E1,1.446511,0.467585,2304,0.32325,8.254202,0.039162
E1_174,E1,1.131961,0.235513,2304,0.208057,9.345709,0.022262
E1_176,E1,1.13006,0.319782,2304,0.282978,9.353658,0.030253
E1_177,E1,1.064259,0.216708,2304,0.203623,9.641686,0.021119
E1_180,E1,1.008066,0.447356,2304,0.443776,9.909584,0.044783
E1_183,E1,66.36802,42.947207,2304,0.647107,0.711864,0.909032
E1_184,E1,65.154166,42.8564,2304,0.657769,0.731315,0.899434
E1_185,E1,65.565391,42.546425,2304,0.648916,0.724703,0.895423
E1_186,E1,61.968425,44.323189,2304,0.715254,0.783406,0.913006
E1_187,E1,63.398278,42.235676,2304,0.666196,0.759822,0.876779
E1_188,E1,64.607803,44.195934,2304,0.684065,0.740136,0.924243
E1_189,E1,63.31919,43.498343,2304,0.686969,0.761118,0.90258
E1_190,E1,62.816649,43.153943,2304,0.686983,0.769373,0.892912
E1_191,E1,61.552537,42.821824,2304,0.695696,0.790334,0.880255
E1_192,E1,61.35001,43.729662,2304,0.71279,0.79372,0.898037
E1_193,E1,63.342858,43.393893,2304,0.685064,0.76073,0.900535
E1_194,E1,61.304355,43.336281,2304,0.706904,0.794484,0.889764
E1_195,E1,64.842555,44.853124,2304,0.691724,0.73634,0.939407
E1_196,E1,62.465736,44.497314,2304,0.712348,0.775163,0.918965
E1_197,E1,64.239344,43.86875,2304,0.682895,0.746109,0.915276
E1_198,E1,64.062569,43.890027,2304,0.685112,0.748982,0.914724
E1_199,E1,63.15158,43.781114,2304,0.69327,0.763866,0.907581
E1_200,E1,62.255135,43.147378,2304,0.693073,0.778648,0.890098
E1_201,E1,63.492098,43.381141,2304,0.683253,0.758287,0.901048
E1_202,E1,65.847522,43.807427,2304,0.665286,0.720181,0.923777
E1_203,E1,66.072659,43.011405,2304,0.650971,0.716579,0.908443
E1_204,E1,62.460431,43.362585,2304,0.694241,0.775251,0.895505
E1_205,E1,63.224274,44.743213,2304,0.70769,0.762674,0.927907
E1_206,E1,60.268565,44.598347,2304,0.739994,0.811936,0.911394
E1_207,E1,61.636913,44.774146,2304,0.726418,0.788926,0.920768
E1_208,E1,63.196539,44.093771,2304,0.697724,0.763129,0.914295
E1_209,E1,21.069868,37.451414,2304,1.777487,1.935488,0.918366
E1_210,E1,64.375039,44.741168,2304,0.695008,0.743907,0.934268
E1_211,E1,21.139881,37.996801,2304,1.797399,1.931423,0.930609
E1_212,E1,65.66281,44.231676,2304,0.673618,0.72314,0.931518
E1_213,E1,21.963066,38.68086,2304,1.761178,1.884966,0.934328
E1_214,E1,66.041355,44.454981,2304,0.673139,0.717079,0.938723
E1_215,E1,65.249486,44.447229,2304,0.681189,0.72978,0.933417
E1_216,E1,67.495845,42.703282,2304,0.63268,0.693954,0.911703
E1_217,E1,66.914253,43.401318,2304,0.648611,0.703171,0.922408
E1_218,E1,8.563176,25.770772,2304,3.009488,3.267707,0.920978
E1_219,E1,43.178677,45.575495,1186,1.055509,1.147152,0.920113
E1_220,E1,41.495533,45.785694,1166,1.103389,1.187391,0.929254
E1_221,E1,42.911461,45.304545,1169,1.055768,1.153421,0.915336
E1_222,E1,43.538544,45.079468,1172,1.035392,1.138778,0.909213
E1_223,E1,41.626523,42.554479,1175,1.022292,1.184194,0.863281
E1_224,E1,42.696032,46.01407,1164,1.077713,1.158507,0.93026
E1_225,E1,43.183044,44.340244,1163,1.026798,1.14705,0.895164
E1_226,E1,43.69369,45.656106,1174,1.044913,1.135192,0.920473
E1_227,E1,43.957313,46.178768,1171,1.050537,1.12913,0.930395
E1_228,E1,44.671423,45.721632,1167,1.02351,1.11291,0.91967
E1_229,E1,41.225261,40.950178,1186,0.993327,1.194026,0.831915
E1_23,E1,4.852535,2.174248,2304,0.448064,4.428068,0.101187
E1_230,E1,43.910639,43.304287,1162,0.986191,1.1302,0.872581
E1_231,E1,40.557465,40.924241,1173,1.009043,1.210635,0.833483
E1_232,E1,40.350349,40.254953,1161,0.997636,1.215851,0.820525
E1_233,E1,37.547814,41.781613,1175,1.112758,1.289679,0.862818
E1_234,E1,39.720383,42.800054,1166,1.077534,1.231909,0.874686
E1_235,E1,42.303913,41.846933,1171,0.989198,1.167839,0.847033
E1_236,E1,39.670037,39.678708,1169,1.000219,1.233205,0.811073
E1_237,E1,38.897644,41.034612,1167,1.054938,1.253335,0.841705
E1_238,E1,40.472846,42.279868,1164,1.044648,1.212762,0.861379
E1_239,E1,53.299421,42.778246,2304,0.802602,0.936052,0.857434
E1_240,E1,24.382384,38.175023,2304,1.56568,1.761057,0.889057
E1_241,E1,50.898579,44.460406,2304,0.87351,0.982187,0.889352
E1_242,E1,24.675504,41.403044,2304,1.677901,1.74717,0.960354
E1_243,E1,53.780235,45.817711,2304,0.851943,0.927049,0.918984
E1_244,E1,24.624062,40.958087,2304,1.663336,1.749591,0.9507
E1_245,E1,51.846691,44.537457,2304,0.859022,0.963724,0.891357
E1_246,E1,32.037275,42.283138,2304,1.319811,1.45649,0.906158
E1_247,E1,53.47653,46.357638,2304,0.866878,0.932727,0.929402
E1_248,E1,30.810862,42.120171,2304,1.367056,1.498536,0.912261
E1_249,E1,54.860717,46.080008,2304,0.839945,0.907082,0.925986
E1_25,E1,4.256974,1.9385,2304,0.45537,4.742453,0.09602
E1_250,E1,30.751104,41.359233,2304,1.344967,1.500638,0.896263
E1_251,E1,52.745294,44.140006,2304,0.836852,0.946522,0.884134
E1_252,E1,30.836251,40.488263,2304,1.313009,1.497644,0.876716
E1_253,E1,51.859057,45.166287,2304,0.870943,0.963485,0.903951
E1_254,E1,33.243198,42.273699,2304,1.27165,1.417086,0.897369
E1_255,E1,54.996137,45.276179,2304,0.823261,0.904605,0.910078
E1_256,E1,30.12462,41.871539,2304,1.389944,1.523005,0.912633
E1_257,E1,52.882086,46.199197,2304,0.873627,0.943928,0.925523
