env,mode,series_id,mu,sd,n_dong_train
E1,N0,E1_1,,,1612
E1,N1,E1_1,7.4505180923295065,23.95239662021242,1612
E1,N2,E1_1,,,1612
E1,N0,E1_100,,,1612
E1,N1,E1_100,2.070201169797944,0.14702875892266246,1612
E1,N2,E1_100,,,1612
E1,N0,E1_1000,,,1612
E1,N1,E1_1000,3.3481803143093463,5.94817406196029,1612
E1,N2,E1_1000,,,1612
E1,N0,E1_1002,,,1612
E1,N1,E1_1002,1.8911497105045494,0.31953907839923906,1612
E1,N2,E1_1002,,,1612
E1,N0,E1_1005,,,1612
E1,N1,E1_1005,19.077512406947893,6.5056935010046,1612
E1,N2,E1_1005,,,1612
E1,N0,E1_1006,,,1612
E1,N1,E1_1006,7.9875723738626965,3.5901382491068996,1612
E1,N2,E1_1006,,,1612
E1,N0,E1_1007,,,1612
E1,N1,E1_1007,17.747430727874278,3.7704991119253655,1612
E1,N2,E1_1007,,,1612
E1,N0,E1_1017,,,1612
E1,N1,E1_1017,1.5182470755051403,0.5100205186034146,1612
E1,N2,E1_1017,,,1612
E1,N0,E1_102,,,1612
E1,N1,E1_102,1.0877026870978483,0.6125338006655513,1612
E1,N2,E1_102,,,1612
E1,N0,E1_1025,,,1612
E1,N1,E1_1025,4.354448777029422,8.624867123871978,1612
E1,N2,E1_1025,,,1612
E1,N0,E1_1036,,,1612
E1,N1,E1_1036,1.1737770294221908,6.1823090338662015,1612
E1,N2,E1_1036,,,1612
E1,N0,E1_1037,,,1612
E1,N1,E1_1037,1.2305919886565047,6.5946931308353305,1612
E1,N2,E1_1037,,,1612
E1,N0,E1_104,,,1612
E1,N1,E1_104,2.1107733664185275,0.13691801457542332,1612
E1,N2,E1_104,,,1612
E1,N0,E1_106,,,1612
E1,N1,E1_106,1.5104524843436133,0.06380618548457544,1612
E1,N2,E1_106,,,1612
E1,N0,E1_1063,,,1612
E1,N1,E1_1063,1.609771948481626,2.873968893553565,1612
E1,N2,E1_1063,,,1612
E1,N0,E1_107,,,1612
E1,N1,E1_107,1.3119527649769587,0.10861858639299148,1612
E1,N2,E1_107,,,1612
E1,N0,E1_1079,,,1612
E1,N1,E1_1079,2.077253928866832,3.6978007212740924,1612
E1,N2,E1_1079,,,1612
E1,N0,E1_108,,,1612
E1,N1,E1_108,1.0712572373862697,0.06610787330697881,1612
E1,N2,E1_108,,,1612
E1,N0,E1_1081,,,1612
E1,N1,E1_1081,2.068548387096774,0.7826003709698741,1612
E1,N2,E1_1081,,,1612
E1,N0,E1_1087,,,1612
E1,N1,E1_1087,1.037952235936107,0.647784824613251,1612
E1,N2,E1_1087,,,1612
E1,N0,E1_109,,,1612
E1,N1,E1_109,1.0456885856079405,0.0604610028562972,1612
E1,N2,E1_109,,,1612
E1,N0,E1_1091,,,1612
E1,N1,E1_1091,1.9501654259718775,3.9661461016120962,1612
E1,N2,E1_1091,,,1612
E1,N0,E1_11,,,1612
E1,N1,E1_11,2.4817381543187995,4.561283857761327,1612
E1,N2,E1_11,,,1612
E1,N0,E1_110,,,1612
E1,N1,E1_110,15.459093258891649,32.55054999316104,1612
E1,N2,E1_110,,,1612
E1,N0,E1_111,,,1612
E1,N1,E1_111,1.0964950372208437,0.07877809823837978,1612
E1,N2,E1_111,,,1612
E1,N0,E1_112,,,1612
E1,N1,E1_112,4.716855355665839,2.7926211963838075,1612
E1,N2,E1_112,,,1612
E1,N0,E1_113,,,1339
E1,N1,E1_113,1.4428751466979624,3.15149182383502,1339
E1,N2,E1_113,,,1339
E1,N0,E1_114,,,1612
E1,N1,E1_114,3.5031999586435068,1.184609487277888,1612
E1,N2,E1_114,,,1612
E1,N0,E1_115,,,1612
E1,N1,E1_115,1.7932197506794283,1.012051904551046,1612
E1,N2,E1_115,,,1612
E1,N0,E1_116,,,1612
E1,N1,E1_116,1.3597741640080352,0.15115947336328173,1612
E1,N2,E1_116,,,1612
E1,N0,E1_1160,,,1612
E1,N1,E1_1160,1.4287368545433061,3.8981501095810613,1612
E1,N2,E1_1160,,,1612
E1,N0,E1_1167,,,1612
E1,N1,E1_1167,0.9315963606286187,0.21391619184334043,1612
E1,N2,E1_1167,,,1612
E1,N0,E1_117,,,1612
E1,N1,E1_117,3.2685638957816376,0.43074273308823846,1612
E1,N2,E1_117,,,1612
E1,N0,E1_118,,,1612
E1,N1,E1_118,7.5600835139839475,3.0256485609105694,1612
E1,N2,E1_118,,,1612
E1,N0,E1_1184,,,1612
E1,N1,E1_1184,1.3426326361810235,0.4879163488146256,1612
E1,N2,E1_1184,,,1612
E1,N0,E1_1188,,,1612
E1,N1,E1_1188,1.523401866950254,5.098623208875654,1612
E1,N2,E1_1188,,,1612
E1,N0,E1_119,,,1612
E1,N1,E1_119,6.713232270533953,3.593975757262032,1612
E1,N2,E1_119,,,1612
E1,N0,E1_12,,,1612
E1,N1,E1_12,1.0098133049745952,0.22559363912232,1612
E1,N2,E1_12,,,1612
E1,N0,E1_120,,,1612
E1,N1,E1_120,6.788920337055418,4.090166879542511,1612
E1,N2,E1_120,,,1612
E1,N0,E1_1202,,,1612
E1,N1,E1_1202,0.7911585726101855,3.6133853412492147,1612
E1,N2,E1_1202,,,1612
E1,N0,E1_121,,,1612
E1,N1,E1_121,2.845527590688881,0.6061502566051769,1612
E1,N2,E1_121,,,1612
E1,N0,E1_122,,,1612
E1,N1,E1_122,2.3135492363818977,0.8861974128097648,1612
E1,N2,E1_122,,,1612
E1,N0,E1_1220,,,1612
E1,N1,E1_1220,1.0317529244948598,0.5335198297901499,1612
E1,N2,E1_1220,,,1612
E1,N0,E1_1221,,,1612
E1,N1,E1_1221,1.032881858285084,0.3057783700904636,1612
E1,N2,E1_1221,,,1612
E1,N0,E1_1225,,,1612
E1,N1,E1_1225,1.0871883492851235,0.31138793174649,1612
E1,N2,E1_1225,,,1612
E1,N0,E1_1226,,,1612
E1,N1,E1_1226,9.14484373153728,2.5422819815195483,1612
E1,N2,E1_1226,,,1612
E1,N0,E1_1227,,,1612
E1,N1,E1_1227,9.63543660640435,0.7516104934256389,1612
E1,N2,E1_1227,,,1612
E1,N0,E1_1228,,,1612
E1,N1,E1_1228,8.829651128441451,0.8554369441448265,1612
E1,N2,E1_1228,,,1612
E1,N0,E1_1229,,,1612
E1,N1,E1_1229,3.9469514356611133,6.5118359842981945,1612
E1,N2,E1_1229,,,1612
E1,N0,E1_123,,,1612
E1,N1,E1_123,2.1592387451258417,1.5492511657380863,1612
E1,N2,E1_123,,,1612
E1,N0,E1_1230,,,1612
E1,N1,E1_1230,6.053577336641853,3.181745431202896,1612
E1,N2,E1_1230,,,1612
E1,N0,E1_1233,,,1612
E1,N1,E1_1233,2.5759822167080233,3.537191485938671,1612
E1,N2,E1_1233,,,1612
E1,N0,E1_124,,,1612
E1,N1,E1_124,3.407552452587735,0.596602936031065,1612
E1,N2,E1_124,,,1612
E1,N0,E1_125,,,1612
E1,N1,E1_125,7.1577465880893305,4.445095263314201,1612
E1,N2,E1_125,,,1612
E1,N0,E1_126,,,1612
E1,N1,E1_126,1.6872079197684033,0.14302044968538635,1612
E1,N2,E1_126,,,1612
E1,N0,E1_127,,,1612
E1,N1,E1_127,1.7527450372208437,0.11506318906558222,1612
E1,N2,E1_127,,,1612
E1,N0,E1_128,,,1612
E1,N1,E1_128,6.794320590363937,0.5643408557630385,1612
E1,N2,E1_128,,,1612
E1,N0,E1_129,,,1612
E1,N1,E1_129,3.2892886683209266,0.3343441593652465,1612
E1,N2,E1_129,,,1612
E1,N0,E1_131,,,1612
E1,N1,E1_131,1.9659135723147818,0.4292396785661653,1612
E1,N2,E1_131,,,1612
E1,N0,E1_132,,,1612
E1,N1,E1_132,1.5420231314384538,0.1273206277573936,1612
E1,N2,E1_132,,,1612
E1,N0,E1_133,,,1612
E1,N1,E1_133,3.592318677626137,0.043401314181403895,1612
E1,N2,E1_133,,,1612
E1,N0,E1_134,,,1612
E1,N1,E1_134,2.9356614823348695,1.8965157395104058,1612
E1,N2,E1_134,,,1612
E1,N0,E1_135,,,1612
E1,N1,E1_135,3.6429058844381426,0.20717006399700477,1612
E1,N2,E1_135,,,1612
E1,N0,E1_136,,,1612
E1,N1,E1_136,1.5697525257001064,0.21995687261682018,1612
E1,N2,E1_136,,,1612
E1,N0,E1_137,,,1612
E1,N1,E1_137,1.1717350525818269,0.10949373931239051,1612
E1,N2,E1_137,,,1612
E1,N0,E1_138,,,1612
E1,N1,E1_138,1.2795241049273307,0.2148943627434819,1612
E1,N2,E1_138,,,1612
E1,N0,E1_139,,,1612
E1,N1,E1_139,1.3465260545905706,0.15851058677957738,1612
E1,N2,E1_139,,,1612
E1,N0,E1_140,,,1612
E1,N1,E1_140,1.5193910256410255,0.12050324526855001,1612
E1,N2,E1_140,,,1612
E1,N0,E1_142,,,1612
E1,N1,E1_142,6.477211710780258,9.165482966209058,1612
E1,N2,E1_142,,,1612
E1,N0,E1_143,,,1612
