xuoi,nguoc,mode,h,model,n_xuoi,n_nguoc,L_p50_xuoi,L_p50_nguoc,rank_biserial,p,p_holm,co_y_nghia,ket_luan,huong_khop_trung_vi
E1->E3,E3->E1,N0,1,lr,497,735,1.0635783109430015,2.273260609980464,-0.8294638579777988,5.287592436273086e-135,5.816351679900394e-133,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,ridge,497,735,1.0634458266192965,2.2785071125540384,-0.8306355137628492,2.2245980600422046e-135,2.469303846646847e-133,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,rf,497,735,1.0553954399712764,2.5448584071042495,-0.9060047358983835,1.1172902031969892e-160,1.3295753418044172e-158,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,xgb,497,735,1.0710413438886377,2.815831032312484,-0.9855404536059896,9.460349106611635e-190,1.2582264311793473e-187,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,svr,497,735,1.032676466358979,1.5249170020826135,-0.8438960292366444,1.1345548384907546e-139,1.2707014191096452e-137,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,lr,497,735,0.9985741886161468,3.6249816461885365,-0.8548625083836352,2.843032779970807e-143,3.212627041367012e-141,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,ridge,497,735,0.9987702382359779,3.6279461332151026,-0.8553990610328639,1.8897556487869763e-143,2.154321439617153e-141,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,rf,497,735,1.0682714946434668,1.6192059507440244,-0.6973624057268784,5.313615683880752e-96,4.250892547104602e-94,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,xgb,497,735,1.065833768199642,3.320470921399012,-0.9591891484964207,7.5527731260259395e-180,9.96966052635424e-178,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,svr,497,735,1.0588895095007198,2.182185479749101,-0.9519785378940309,3.475630869173628e-177,4.553076438617453e-175,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,12,lr,497,735,1.0062461242112903,3.9125689749324732,-0.8721526437536785,4.809517063275139e-149,5.530944622766409e-147,True,ngược tốn hơn,True
