env,h,model,so_sanh,n_chuoi,hieu_p50,p,p_holm,co_y_nghia,ket_luan
E1,1,lr,N1_vs_N0,735,-0.06768160088954239,0.41307662170387915,0.8261532434077583,False,không khác
E1,1,lr,N2_vs_N0,735,-0.034160620110218975,2.937670949624372e-94,2.643903854661935e-93,True,Nk tốt hơn N0
E1,1,rf,N1_vs_N0,735,-0.010362788568209998,0.021074789601436095,0.10537394800718047,False,không khác
E1,1,rf,N2_vs_N0,735,0.012188852022029295,0.11981913560515908,0.47927654242063633,False,không khác
E1,1,ridge,N1_vs_N0,735,-0.0676800706510389,0.4140685771785104,0.8261532434077583,False,không khác
E1,1,ridge,N2_vs_N0,735,-0.03431573712281211,1.0447595924007947e-94,1.0447595924007946e-93,True,Nk tốt hơn N0
E1,1,svr,N1_vs_N0,735,0.020918072721863856,1.4639255346956806e-30,1.0247478742869765e-29,True,Nk tệ hơn N0
E1,1,svr,N2_vs_N0,735,-0.013184469136891502,5.917583210382861e-35,4.734066568306289e-34,True,Nk tốt hơn N0
E1,1,xgb,N1_vs_N0,735,-0.011554680679970342,0.26733976745102705,0.8020193023530812,False,không khác
E1,1,xgb,N2_vs_N0,735,0.003768178606413,0.010773865497338473,0.06464319298403085,False,không khác
E1,6,lr,N1_vs_N0,735,-0.36629700462767945,9.0775801356e-06,3.63103205424e-05,True,Nk tốt hơn N0
E1,6,lr,N2_vs_N0,735,-0.4040374241553239,2.3305337184336397e-68,2.3305337184336398e-67,True,Nk tốt hơn N0
E1,6,rf,N1_vs_N0,735,-0.043279614528052596,2.0199780206135738e-09,1.4139846144295017e-08,True,Nk tốt hơn N0
E1,6,rf,N2_vs_N0,735,-0.01276163745911621,4.108275579633272e-08,2.054137789816636e-07,True,Nk tốt hơn N0
E1,6,ridge,N1_vs_N0,735,-0.3662970190605719,9.0775801356e-06,3.63103205424e-05,True,Nk tốt hơn N0
E1,6,ridge,N2_vs_N0,735,-0.40403746146051894,2.3305337184336397e-68,2.3305337184336398e-67,True,Nk tốt hơn N0
E1,6,svr,N1_vs_N0,735,0.0031703162268128943,1.6028680403782494e-12,1.2822944323025995e-11,True,Nk tệ hơn N0
E1,6,svr,N2_vs_N0,735,0.02345907778036671,0.00017611074384081148,0.00035222148768162295,True,Nk tệ hơn N0
E1,6,xgb,N1_vs_N0,735,-0.06406241188941669,0.053440023268876154,0.053440023268876154,False,không khác
E1,6,xgb,N2_vs_N0,735,-0.02454087383870321,3.677766346914278e-09,2.2066598081485667e-08,True,Nk tốt hơn N0
E1,12,lr,N1_vs_N0,735,-0.5152579862016202,1.472167813832175e-05,5.8886712553287e-05,True,Nk tốt hơn N0
E1,12,lr,N2_vs_N0,735,-0.5746380817722994,4.0759560175349366e-84,4.075956017534937e-83,True,Nk tốt hơn N0
E1,12,rf,N1_vs_N0,735,-0.0565082939469487,4.8028774559263436e-05,9.605754911852687e-05,True,Nk tốt hơn N0
E1,12,rf,N2_vs_N0,735,-0.04275648570786479,5.537514964323159e-24,4.4300119714585274e-23,True,Nk tốt hơn N0
E1,12,ridge,N1_vs_N0,735,-0.5152580214445535,1.472167813832175e-05,5.8886712553287e-05,True,Nk tốt hơn N0
E1,12,ridge,N2_vs_N0,735,-0.574638118769094,4.0759560175349366e-84,4.075956017534937e-83,True,Nk tốt hơn N0
E1,12,svr,N1_vs_N0,735,-0.002653656464602104,4.559288610253272e-06,2.279644305126636e-05,True,Nk tốt hơn N0
E1,12,svr,N2_vs_N0,735,0.005971711636856697,0.05515814726330249,0.05515814726330249,False,không khác
E1,12,xgb,N1_vs_N0,735,-0.1039604323919977,1.0329978445171444e-06,6.197987067102867e-06,True,Nk tốt hơn N0
