nguon,dich,mode,lich,h,model,series_id,n_dong,mae,rmse,smape,mase,r2
E1,E1,N1,co,1,lr,E1_1,346,3.896841816606536,9.90507112286262,125.93652649678214,5.084797586217346,0.3285927647984841
E1,E1,N1,co,1,lr,E1_100,346,0.0732363860929917,0.1350391330615261,3.413420086927594,0.6221056514203935,-0.1303556414675597
E1,E1,N1,co,1,lr,E1_1000,346,4.067970450019094,4.505970569291061,144.7967299303114,0.7414762084959194,-0.0421906249043095
E1,E1,N1,co,1,lr,E1_1002,346,0.3356568074377776,0.4661640336324355,17.263331234319576,0.6557376411119203,-0.1155923913103864
E1,E1,N1,co,1,lr,E1_1005,346,2.08128718018072,2.950456207461692,13.10734454116652,1.0904091602371224,0.6453290414428206
E1,E1,N1,co,1,lr,E1_1006,346,1.2950013968197465,2.805145101165375,12.445622330760944,1.1142995060897911,0.5024607878473812
E1,E1,N1,co,1,lr,E1_1007,346,0.5380219008000313,0.818393842107297,2.8927552239488943,1.675722081275066,0.7161631693403772
E1,E1,N1,co,1,lr,E1_1017,346,0.3204956861368571,0.4157378247027354,19.36999123963605,0.8773964263619751,0.5808988580897594
E1,E1,N1,co,1,lr,E1_102,346,0.1707834517745806,0.5043874773071616,11.177557628547277,0.8016503925833817,0.1038099353786982
E1,E1,N1,co,1,lr,E1_1025,346,1.111948357902879,2.202175281358511,58.31147860593071,2.043585663636044,0.8149321748369744
E1,E1,N1,co,1,lr,E1_1036,346,1.43578620713882,5.427544386497268,114.28540489024913,1.4174764554019328,0.2251955364782465
E1,E1,N1,co,1,lr,E1_1037,346,1.3883728342404302,5.109969976582939,149.34872727014937,1.5038883132640464,0.3700572334480757
E1,E1,N1,co,1,lr,E1_104,346,0.0982521117138362,0.108418913221297,4.654356747903177,0.501640033713258,-0.1514453029583227
E1,E1,N1,co,1,lr,E1_106,346,0.0274712262136407,0.0450499083749298,1.7944344154589835,0.626192365478249,0.0215207016111034
E1,E1,N1,co,1,lr,E1_1063,346,0.289529774634656,0.466171229051972,24.940414350451388,1.0833350077049466,-0.2241857489752199
E1,E1,N1,co,1,lr,E1_107,346,0.0475401895499089,0.0761328040887689,3.549345077809672,0.6660587868733052,0.0464676131816819
E1,E1,N1,co,1,lr,E1_1079,346,0.3228200094965789,0.4254949594889353,23.75758284718451,1.2143439491726071,-0.0941539105553184
E1,E1,N1,co,1,lr,E1_108,346,0.0244207305299411,0.0397500540955322,2.254050230512916,0.8593038998995665,0.4471182864850775
E1,E1,N1,co,1,lr,E1_1081,346,0.3252931499380771,0.4216594236428021,14.543084425421704,0.9051796012070512,0.7239156192630813
E1,E1,N1,co,1,lr,E1_1087,346,0.350256184199414,0.6598351128211011,24.675931786952347,1.1279970736144729,0.0334514334467113
E1,E1,N1,co,1,lr,E1_109,346,0.0277041878077533,0.0443047013454831,2.610684150667609,0.6858462782680087,-0.0395188531185421
E1,E1,N1,co,1,lr,E1_1091,346,1.785192904665848,2.917912330502803,114.5080907473592,2.0558832934291345,0.4295802909480525
E1,E1,N1,co,1,lr,E1_11,346,0.8751852288291021,3.349750060543934,23.09987419532356,1.2730411676204898,0.2833363127999991
E1,E1,N1,co,1,lr,E1_110,346,3.012125697342005,3.1080576728893567,103.20284181034462,4.137550922109814,-3.1108333179211
E1,E1,N1,co,1,lr,E1_111,346,0.0261953004729977,0.0355535324654515,2.404703128331093,0.7097512946657198,0.5997201503512168
E1,E1,N1,co,1,lr,E1_112,346,0.2937477758931966,0.888830312004804,3.602932325863714,0.8375057996947338,0.5462445899032209
E1,E1,N1,co,1,lr,E1_113,346,0.2222249579936207,0.2553892405340381,16.623997809990453,0.7766288912222682,0.2262063257553067
E1,E1,N1,co,1,lr,E1_114,346,0.5608648162180403,1.3839945896583512,10.937406050219018,1.875288813637012,0.204884422494038
E1,E1,N1,co,1,lr,E1_115,346,0.2608554609791091,1.1415594043350268,10.405227765182229,0.8964943874261465,0.0486364728885796
E1,E1,N1,co,1,lr,E1_116,346,0.0452872262416213,0.0667691738626104,3.2350028747338886,0.566525717711985,0.5698434593896232
E1,E1,N1,co,1,lr,E1_1160,346,0.6612712073268993,3.0713721113070287,30.555190229387065,1.0657139012517305,0.1692725121985701
E1,E1,N1,co,1,lr,E1_1167,346,0.1699111739943219,0.2492046579433783,15.836301390798967,1.0620547127710267,0.283456526289224
E1,E1,N1,co,1,lr,E1_117,346,0.2772324594342355,0.834453154562531,6.069916559289855,3.0761704151428564,0.1252275247068409
E1,E1,N1,co,1,lr,E1_118,346,0.6256680306735257,0.9869514687866136,5.865953673647576,2.700071777550612,0.9313664997842618
