nguon,dich,mode,lich,h,model,metric,p25,p50,p75,iqr,n_chuoi,n_loai,n_dong_test
E1a,E1a,N0,co,1,lr,mae,0.1969725380953081,0.5937429217862439,3.605521005228408,3.4085484671331003,368,0,127328
E1a,E1a,N0,co,1,lr,rmse,0.3421899208307556,1.3789796595487005,7.549658948876379,7.207469028045623,368,0,127328
E1a,E1a,N0,co,1,lr,smape,8.971768219296091,16.962022991704938,26.11067529558232,17.13890707628623,368,0,127328
E1a,E1a,N0,co,1,lr,mase,1.0830662864819578,1.485805461726723,1.9201164124173165,0.8370501259353587,368,0,127328
E1a,E1a,N0,co,1,lr,r2,-0.9703154021809152,0.0262893245120579,0.7783428794731584,1.7486582816540737,365,3,127328
E1a,E1g,N0,co,1,lr,mae,0.8717877696329587,1.469841276335489,2.8984648050881727,2.026677035455214,73,0,25258
E1a,E1g,N0,co,1,lr,rmse,1.5553350572473716,2.852916306013361,4.482303012791229,2.9269679555438577,73,0,25258
E1a,E1g,N0,co,1,lr,smape,12.208725730345227,15.372323318740024,19.85510227486376,7.646376544518532,73,0,25258
E1a,E1g,N0,co,1,lr,mase,0.9117039356600024,1.1966669644636785,1.4151507374670995,0.5034468018070973,73,0,25258
E1a,E1g,N0,co,1,lr,r2,0.6067692133096837,0.796041605158242,0.9325012362073128,0.325732022897629,73,0,25258
E1a,E1a,N0,co,1,ridge,mae,0.1968490002446948,0.5938554225318722,3.607075944438828,3.4102269441941333,368,0,127328
E1a,E1a,N0,co,1,ridge,rmse,0.3426301476919637,1.3788523500783627,7.550536551625182,7.207906403933219,368,0,127328
E1a,E1a,N0,co,1,ridge,smape,8.970185286262868,16.95949833580685,26.12391973512103,17.153734448858163,368,0,127328
E1a,E1a,N0,co,1,ridge,mase,1.0829940007792942,1.484659086154938,1.9184009751075104,0.8354069743282162,368,0,127328
E1a,E1a,N0,co,1,ridge,r2,-0.967617433509044,0.0252593659334805,0.7786020854630431,1.746219518972087,365,3,127328
E1a,E1g,N0,co,1,ridge,mae,0.8721362786570435,1.4718765570493446,2.899905791584444,2.0277695129274,73,0,25258
