env,h,model,mae_p50,mae_p50_naive,ti_so,hieu_p50_theo_chuoi,n_chuoi_tot_hon,n_chuoi,p_holm,co_y_nghia,vuot_naive
E1,1,ma6,0.4007443343426002,0.4077071290944123,0.9829220676928616,0.0130378933847142,302,735,4.192537411429678e-28,True,False
E1,1,seasonal,0.5833608587943848,0.4077071290944123,1.4308331082905752,0.1808526011560695,100,735,5.878239702050503e-90,True,False
E1,1,lr,0.5508031015451244,0.4077071290944123,1.3509773615402625,0.10056522953717,8,735,6.755155725369897e-119,True,False
E1,1,ridge,0.5510983478127187,0.4077071290944123,1.3517015241720276,0.1007292435118683,8,735,6.755155725369897e-119,True,False
E1,1,rf,0.384985425513396,0.4077071290944123,0.9442695455645205,0.010859331156709506,286,735,9.34404039682738e-18,True,False
E1,1,xgb,0.3968713356350657,0.4077071290944123,0.9734226048894098,0.0165446952325794,272,735,1.063267136891162e-23,True,False
E1,1,svr,0.3781031902858683,0.4077071290944123,0.9273892049072101,0.012547535725049797,295,735,1.525258597058842e-17,True,False
E1,6,ma6,0.4262870641902899,0.4660801564027368,0.9146217841163313,-0.006647116324535796,430,735,0.07588201529543646,False,False
E1,6,seasonal,0.6005301150462441,0.4660801564027368,1.288469605059371,0.1270772238514173,138,735,7.467311014874845e-71,True,False
E1,6,lr,0.8781132901285866,0.4660801564027368,1.8840392109931723,0.4179753733287227,67,735,3.382314140728682e-91,True,False
E1,6,ridge,0.8783373546507118,0.4660801564027368,1.8845199534557018,0.4176451751097439,67,735,3.382314140728682e-91,True,False
E1,6,rf,0.5560619104796859,0.4660801564027368,1.1930606846072125,0.029601305748780504,245,735,9.520029681844104e-24,True,False
E1,6,xgb,0.587649871308433,0.4660801564027368,1.2608343505631865,0.05467009171001311,148,735,3.276122222890528e-36,True,False
E1,6,svr,0.3960115456093419,0.4660801564027368,0.8496640334697083,-0.005545130672980202,407,735,0.07588201529543646,False,False
E1,12,ma6,0.4558156188753204,0.4493532338308457,1.014381525619347,0.0172222222222222,223,735,1.874170732066118e-23,True,False
E1,12,seasonal,0.5817812722103767,0.4493532338308457,1.2947081013539163,0.1134044065387349,145,735,3.7224303464335045e-64,True,False
E1,12,lr,1.0489235994031263,0.4493532338308457,2.3342963184236982,0.5902207660200584,59,735,6.060569620296788e-84,True,False
E1,12,ridge,1.0489916305433542,0.4493532338308457,2.334447716333196,0.5902534528514046,59,735,6.060569620296788e-84,True,False
E1,12,rf,0.5938777786502205,0.4493532338308457,1.3216279175010446,0.065191984792085,136,735,2.4106050676294653e-39,True,False
E1,12,xgb,0.6390367810168669,0.4493532338308457,1.4221256973471021,0.1232751152883122,117,735,5.012601983321789e-48,True,False
E1,12,svr,0.4103335782668061,0.4493532338308457,0.9131648497744469,0.009360219791885699,317,735,0.021902319473330923,True,False
E2,1,ma6,0.4099831406551059,0.4140311037709882,0.9902230458557014,0.013553995779429347,130,302,1.1750972181504597e-09,True,False
E2,1,seasonal,0.5996881881365262,0.4140311037709882,1.4484133744411387,0.17283236994219658,35,302,2.3954721867013022e-40,True,False
E2,1,lr,0.5107474132441241,0.4140311037709882,1.233596723995481,0.10218183796580543,12,302,2.238589232666751e-40,True,False
E2,1,ridge,0.5107622627249901,0.4140311037709882,1.2336325896121723,0.10226952156630278,12,302,2.238589232666751e-40,True,False
E2,1,rf,0.3911268968668533,0.4140311037709882,0.9446799849201576,-0.0010103342669495977,155,302,1.0,False,False
E2,1,xgb,0.4105843619443219,0.4140311037709882,0.9916751620946509,0.004125635701774058,139,302,1.0,False,False
E2,1,svr,0.36428304562181557,0.4140311037709882,0.879844635593635,-0.0051000176212928905,172,302,1.0,False,False
E2,6,ma6,0.4466136014523111,0.48079877112135183,0.9288992158001741,-0.01260793418051485,192,302,0.37040759974119153,False,False
E2,6,seasonal,0.7206605222734255,0.48079877112135183,1.49888178913738,0.1084005376344086,59,302,9.463375580419351e-31,True,False
E2,6,lr,0.9005310685653591,0.48079877112135183,1.8729895387733186,0.547202736797687,17,302,1.9917717876862972e-38,True,False
E2,6,ridge,0.9005599465787686,0.48079877112135183,1.8730496013507294,0.5472538905176365,17,302,1.9917717876862972e-38,True,False
E2,6,rf,0.5208661353704407,0.48079877112135183,1.0833349972081687,0.015233888615571595,129,302,0.04121985045165166,True,False
E2,6,xgb,0.5464341055229878,0.48079877112135183,1.1365131076532429,0.0338165595434578,105,302,6.13077742178401e-06,True,False
E2,6,svr,0.37334526422241116,0.48079877112135183,0.7765104377277624,-0.034743271600797654,206,302,0.0002975864378014219,True,True
E2,12,ma6,0.46329212454212454,0.46491826581378815,0.9965023071984122,0.023021795782989796,104,302,2.4867522484481536e-08,True,False
E2,12,seasonal,0.6644314143567873,0.46491826581378815,1.4291359647781818,0.07326581378820174,73,302,4.473392293848562e-22,True,False
E2,12,lr,1.1959112097612068,0.46491826581378815,2.572304204197906,0.8546450938988681,28,302,1.3019253550480188e-38,True,False
E2,12,ridge,1.1958359114803485,0.46491826581378815,2.572142243942964,0.8545813863194404,28,302,1.3019253550480188e-38,True,False
E2,12,rf,0.5904490725716234,0.46491826581378815,1.270006183857086,0.057386760163982434,78,302,5.363108882119622e-09,True,False
E2,12,xgb,0.7063360412835058,0.46491826581378815,1.519269284993874,0.08130216121673589,71,302,1.9623130960914026e-13,True,False
E2,12,svr,0.39498739732333443,0.46491826581378815,0.8495845966214138,-0.01992738750514675,169,302,0.012499592327603268,True,True
E3,1,ma6,5.06576629737134,4.295534398772086,1.1793099128293398,0.7677582908019707,9,497,2.0556377440480571e-81,True,False
E3,1,seasonal,7.352796566082352,4.295534398772086,1.7117303421395507,2.9412411859970815,0,497,1.0940381216105306e-81,True,False
E3,1,lr,4.0845195131487575,4.295534398772086,0.9508757546712583,-0.2609265998723904,351,497,2.475590655900509e-15,True,True
E3,1,ridge,4.084656747656928,4.295534398772086,0.9509077028517245,-0.26091623073141257,351,497,2.602777765419359e-15,True,True
E3,1,rf,4.133127491687575,4.295534398772086,0.9621916874578081,-0.256023793231519,345,497,0.0014115626518773686,True,True
E3,1,xgb,4.042282263792604,4.295534398772086,0.9410429270332752,-0.3476931069104756,341,497,0.1566208124309303,False,False
E3,1,svr,4.1659407299127,4.295534398772086,0.9698306061996775,-0.23723200938659872,336,497,0.2881526133512201,False,False
E3,6,ma6,5.908679851405509,6.508720663903487,0.9078097150756944,-0.5460141094558768,433,497,1.6035005903831616e-64,True,True
E3,6,seasonal,7.764345332953728,6.508720663903487,1.1929142044785808,1.1676990711471156,5,497,3.5975907147717806e-81,True,False
E3,6,lr,5.632613709852007,6.508720663903487,0.8653949064198968,-0.8378489750004654,376,497,5.068393825145588e-31,True,True
E3,6,ridge,5.632114278350038,6.508720663903487,0.865318173751872,-0.8379267176357947,376,497,5.068393825145588e-31,True,True
E3,6,rf,5.39196177266712,6.508720663903487,0.8284211369786131,-1.0579872680844753,347,497,5.247613059373615e-14,True,True
E3,6,xgb,5.423125989071503,6.508720663903487,0.8332092079396569,-1.0420401655314553,348,497,1.080176608678887e-20,True,True
E3,6,svr,5.4493870567820295,6.508720663903487,0.8372439590169566,-1.0363533911691034,347,497,0.49461361918221064,False,False
E3,12,ma6,6.821390907131799,7.027038242901766,0.9707348489276121,-0.10658692600527608,311,497,3.5122443092773236e-09,True,True
E3,12,seasonal,7.87776164648527,7.027038242901766,1.1210642911247632,0.8794535426054555,35,497,5.304452472152819e-74,True,False
E3,12,lr,6.433363950917596,7.027038242901766,0.9155157163711384,-0.49000603635159745,344,497,0.0014008863056368937,True,True
E3,12,ridge,6.432868962632703,7.027038242901766,0.9154452758430265,-0.4897812140367801,344,497,0.0014008863056368937,True,True
